cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
22,-0.005692,-0.005466,0.002047,-0.001592,0.004885,-0.002245,4.2e-05,-0.001084,-0.004608,1,0.996206,0.998839,0.997755,0.561227,0.931864,0.87215,0.836941,0.02,0.0,1.0,0.0
23,5.1e-05,-0.003048,-0.003564,-0.001296,0.005474,-0.001667,-0.000278,-0.002245,0.002296,11,0.995375,0.999421,0.998333,0.557456,0.932022,0.872078,0.836935,0.02,0.0,1.0,0.0
24,-0.001935,0.001071,-0.015982,-0.001411,0.005222,-0.001734,-0.000472,-0.001667,-0.000269,10,0.999266,0.999932,0.998266,0.559725,0.932929,0.8755,0.836904,0.02,0.0,1.0,0.0
25,-0.006704,0.002492,-0.004869,-0.002364,0.010911,-0.002987,-0.000649,-0.001734,-0.00497,9,0.987601,0.998748,0.997013,0.554737,0.930003,0.86425,0.837,0.02,0.0,1.0,0.0
26,-0.005809,-0.002721,0.002411,-0.002984,0.008226,-0.003698,-0.000976,-0.002987,-0.002822,8,0.993524,0.999289,0.996302,0.560569,0.93156,0.869212,0.836951,0.02,0.0,1.0,0.0
27,-0.013232,-0.006422,-0.012964,-0.004829,0.007425,-0.006101,-0.001357,-0.003698,-0.009534,7,0.988368,0.997597,0.993899,0.559881,0.929087,0.864303,0.837027,0.02,0.0,1.0,0.0
28,-0.011682,-0.007912,0.000743,-0.006062,0.011476,-0.007507,-0.002021,-0.006101,-0.005581,6,0.990428,0.998594,0.992493,0.557262,0.929027,0.866453,0.837028,0.02,0.0,1.0,0.0
29,-0.007951,-0.00531,-0.006274,-0.006402,0.003823,-0.007619,-0.002789,-0.007507,-0.000444,5,0.995653,0.999888,0.992381,0.551136,0.930261,0.873945,0.836992,0.02,0.0,1.0,0.0
30,-0.009372,-0.00676,-0.004156,-0.006937,0.005916,-0.008061,-0.003466,-0.007619,-0.001753,4,0.994458,0.999558,0.991939,0.555996,0.930309,0.871429,0.836991,0.02,0.0,1.0,0.0
31,0.003581,0.001145,-0.008331,-0.005044,0.009746,-0.005127,-0.004109,-0.008061,0.011642,3,0.991419,0.997066,0.994873,0.551909,0.927322,0.86883,0.837073,0.02,0.0,1.0,0.0
32,-0.003927,-0.001793,0.004951,-0.004843,0.007603,-0.004825,-0.004251,-0.005127,0.0012,2,0.995807,0.999698,0.995175,0.554566,0.930888,0.87289,0.836973,0.02,0.0,1.0,0.0
33,-0.004335,-0.002358,-0.00569,-0.004751,0.001296,-0.004701,-0.004332,-0.004825,0.00049,1,0.997781,0.999877,0.995299,0.56023,0.932595,0.874375,0.836915,0.02,0.0,1.0,0.0
34,-0.007539,-0.006817,0.00754,-0.005253,0.009818,-0.005416,-0.004383,-0.004701,-0.002838,11,0.994519,0.999285,0.994584,0.556377,0.930339,0.870938,0.83699,0.02,0.0,1.0,0.0
35,-0.000143,-0.005032,0.005151,-0.004333,0.002039,-0.004087,-0.004528,-0.005416,0.005273,10,0.994397,0.998671,0.995913,0.566315,0.932268,0.869563,0.836927,0.02,0.0,1.0,0.0
36,-0.001124,-0.000567,0.0127,-0.003755,0.008889,-0.003341,-0.004466,-0.004087,0.002963,9,0.997355,0.999253,0.996659,0.556961,0.931003,0.873757,0.836969,0.02,0.0,1.0,0.0
37,-0.012039,-0.010183,0.012705,-0.005247,0.016827,-0.005533,-0.004309,-0.003341,-0.008699,8,0.989223,0.997808,0.994467,0.556745,0.928049,0.86472,0.837055,0.02,0.0,1.0,0.0
38,-0.017903,-0.016261,-0.018798,-0.007525,0.001214,-0.00865,-0.00448,-0.005533,-0.01237,7,0.992793,0.996883,0.99135,0.56345,0.928824,0.868688,0.837034,0.02,0.0,1.0,0.0
39,0.000444,-0.001634,-0.003309,-0.00609,0.004467,-0.006358,-0.005064,-0.00865,0.009094,6,0.994524,0.997708,0.993642,0.5572,0.929037,0.871404,0.837028,0.02,0.0,1.0,0.0
40,-0.009127,-0.00756,-0.006214,-0.006637,0.00342,-0.007056,-0.005245,-0.006358,-0.002769,5,0.995854,0.999302,0.992944,0.552906,0.930067,0.873804,0.836998,0.02,0.0,1.0,0.0
41,-0.003254,-0.001424,-0.006807,-0.006028,0.000179,-0.006098,-0.005499,-0.007056,0.003802,4,0.999075,0.999042,0.993902,0.560097,0.931424,0.875832,0.836955,0.02,0.0,1.0,0.0
42,-0.015514,-0.012327,0.005325,-0.007736,0.015904,-0.008471,-0.005583,-0.006098,-0.009416,3,0.987928,0.997627,0.991529,0.557616,0.927339,0.863344,0.837073,0.02,0.0,1.0,0.0
43,-0.01333,-0.010306,-0.017589,-0.008743,0.00067,-0.009695,-0.005987,-0.008471,-0.004859,2,0.994608,0.998776,0.990305,0.561404,0.930381,0.871018,0.836988,0.02,0.0,1.0,0.0
44,0.00795,-0.001546,0.009578,-0.005738,0.009152,-0.005249,-0.006506,-0.009695,0.017646,1,0.984378,0.995553,0.994751,0.557016,0.926462,0.860736,0.837094,0.02,0.0,1.0,0.0
45,0.002625,-0.001841,0.014972,-0.004233,0.002644,-0.003264,-0.00633,-0.005249,0.007874,11,0.995146,0.998016,0.996736,0.56806,0.931958,0.869856,0.836937,0.02,0.0,1.0,0.0
46,-0.012358,-0.007976,0.001409,-0.005695,0.012934,-0.005556,-0.005901,-0.003264,-0.009093,10,0.988621,0.997709,0.994444,0.560952,0.928954,0.86366,0.83703,0.02,0.0,1.0,0.0
47,-0.006282,-0.004456,0.000237,-0.005801,0.00586,-0.005739,-0.005853,-0.005556,-0.000726,9,0.995802,0.999817,0.994261,0.551271,0.93047,0.873819,0.836986,0.02,0.0,1.0,0.0
48,-0.013406,-0.012401,0.015914,-0.00717,0.018664,-0.007671,-0.005837,-0.005739,-0.007667,8,0.989314,0.998068,0.992329,0.554277,0.927244,0.865133,0.837075,0.02,0.0,1.0,0.0
49,0.006358,-0.001279,-0.002509,-0.004735,0.013466,-0.004136,-0.006093,-0.007671,0.014029,7,0.98543,0.996465,0.995864,0.556745,0.927265,0.86133,0.837075,0.02,0.0,1.0,0.0
50,-0.01722,-0.010556,0.004498,-0.006982,0.020139,-0.007433,-0.005819,-0.004136,-0.013084,6,0.982866,0.996703,0.992567,0.563638,0.927068,0.856449,0.837079,0.02,0.0,1.0,0.0
51,-0.014707,-0.012171,-0.003782,-0.008372,0.009259,-0.009266,-0.006045,-0.007433,-0.007274,5,0.991273,0.998167,0.990734,0.556374,0.928209,0.86776,0.837051,0.02,0.0,1.0,0.0
52,-0.006381,-0.009855,-0.001561,-0.008014,0.000814,-0.008539,-0.006496,-0.009266,0.002885,4,0.997288,0.999273,0.991461,0.556475,0.93046,0.874766,0.836986,0.02,0.0,1.0,0.0
53,-0.005805,-0.007417,0.016503,-0.007616,0.011666,-0.00785,-0.006782,-0.008539,0.002734,3,0.997285,0.999311,0.99215,0.557179,0.929694,0.873305,0.837009,0.02,0.0,1.0,0.0
54,-0.005952,-0.005216,-0.001467,-0.007317,0.003475,-0.007372,-0.006932,-0.00785,0.001898,2,0.998117,0.999522,0.992628,0.555822,0.93066,0.875419,0.83698,0.02,0.0,1.0,0.0
55,-0.001204,-0.004836,0.004219,-0.006217,0.00062,-0.005817,-0.006993,-0.007372,0.006168,1,0.995633,0.998446,0.994183,0.567139,0.931855,0.870788,0.836941,0.02,0.0,1.0,0.0
56,-0.003411,-0.005681,-0.002168,-0.005712,0.001675,-0.005211,-0.006829,-0.005817,0.002406,11,0.997531,0.999394,0.994789,0.5575,0.931492,0.87468,0.836953,0.02,0.0,1.0,0.0
57,-0.00456,-0.003298,0.001646,-0.005504,0.005069,-0.005047,-0.006602,-0.005211,0.000652,10,0.997089,0.999836,0.994953,0.556141,0.931473,0.874129,0.836954,0.02,0.0,1.0,0.0
58,-0.000761,-0.003186,0.003706,-0.00465,9.5e-05,-0.003967,-0.006384,-0.005047,0.004286,9,0.997162,0.99892,0.996033,0.556297,0.931262,0.874766,0.836961,0.02,0.0,1.0,0.0
59,0.005985,-0.001592,0.000703,-0.002736,0.011251,-0.001459,-0.006046,-0.003967,0.009952,8,0.987302,0.997492,0.998541,0.554948,0.92901,0.863863,0.837029,0.02,0.0,1.0,0.0
60,0.003366,-4.6e-05,0.019508,-0.001638,0.006045,-0.000243,-0.005404,-0.001459,0.004825,7,0.997732,0.998784,0.999757,0.557936,0.931695,0.87426,0.836946,0.02,0.0,1.0,0.0
61,0.000314,0.003037,-0.016208,-0.001286,0.007008,-0.000103,-0.004681,-0.000243,0.000557,6,0.999296,0.99986,0.999897,0.553524,0.932149,0.87668,0.836931,0.02,0.0,1.0,0.0
62,-0.00394,-0.002484,0.001153,-0.001764,0.004609,-0.00107,-0.00404,-0.000103,-0.003837,5,0.995976,0.999033,0.99893,0.559419,0.932127,0.872351,0.836932,0.02,0.0,1.0,0.0
63,-0.004938,0.000421,-0.013732,-0.002335,0.00044,-0.002045,-0.003624,-0.00107,-0.003868,4,0.994422,0.999025,0.997955,0.559836,0.932354,0.871205,0.836924,0.02,0.0,1.0,0.0
64,-0.003594,-0.006216,-0.01385,-0.002562,0.00895,-0.002435,-0.003403,-0.002045,-0.00155,3,0.995994,0.999609,0.997565,0.555503,0.931395,0.872709,0.836956,0.02,0.0,1.0,0.0
65,-0.006931,-0.005211,-0.011904,-0.003348,0.001149,-0.003568,-0.003268,-0.002435,-0.004496,2,0.997079,0.998867,0.996432,0.554412,0.930916,0.874971,0.836972,0.02,0.0,1.0,0.0
66,0.002192,-0.000519,-0.00542,-0.002351,0.007459,-0.002116,-0.00331,-0.003568,0.00576,1,0.993727,0.998548,0.997884,0.55426,0.930276,0.870895,0.836992,0.02,0.0,1.0,0.0
67,-0.004957,-0.00374,-0.001183,-0.00282,0.003563,-0.002832,-0.003143,-0.002116,-0.002841,11,0.996575,0.999284,0.997168,0.558456,0.931921,0.873287,0.836939,0.02,0.0,1.0,0.0
68,0.000918,-0.001468,0.009698,-0.002147,0.002722,-0.001887,-0.003099,-0.002832,0.003751,10,0.998051,0.999055,0.998113,0.556784,0.93174,0.875231,0.836945,0.02,0.0,1.0,0.0
69,0.000815,-0.002757,0.017675,-0.001614,0.006307,-0.001206,-0.00293,-0.001887,0.002702,9,0.998687,0.999319,0.998794,0.553316,0.93132,0.876201,0.836959,0.02,0.0,1.0,0.0
70,-0.012386,-0.010459,0.017217,-0.003553,0.019817,-0.004024,-0.002688,-0.001206,-0.01118,8,0.98744,0.997183,0.995976,0.557272,0.927522,0.862462,0.837068,0.02,0.0,1.0,0.0
71,-0.005754,-0.002883,-0.007585,-0.003949,0.001963,-0.00446,-0.002875,-0.004024,-0.00173,7,0.996092,0.999564,0.99554,0.56171,0.932469,0.87228,0.83692,0.02,0.0,1.0,0.0
72,-0.004869,-0.00315,-0.009714,-0.004115,0.001073,-0.004563,-0.003097,-0.00446,-0.00041,6,0.998395,0.999897,0.995437,0.554719,0.931847,0.876228,0.836941,0.02,0.0,1.0,0.0
73,-0.011538,-0.006498,0.004807,-0.005451,0.015182,-0.006321,-0.003302,-0.004563,-0.006975,5,0.987983,0.998242,0.993679,0.555542,0.928311,0.863942,0.837048,0.02,0.0,1.0,0.0
74,-0.002548,-0.003127,0.002164,-0.004928,0.002211,-0.00537,-0.003725,-0.006321,0.003772,4,0.998838,0.999049,0.99463,0.559272,0.931288,0.875533,0.83696,0.02,0.0,1.0,0.0
75,-0.016251,-0.012418,0.004743,-0.006966,0.016685,-0.008112,-0.003955,-0.00537,-0.010881,3,0.986681,0.997258,0.991888,0.558674,0.927106,0.86177,0.837078,0.02,0.0,1.0,0.0
76,0.00257,-0.00012,0.003347,-0.00525,0.002403,-0.00542,-0.004537,-0.008112,0.010682,2,0.994078,0.997308,0.99458,0.554087,0.928574,0.871891,0.837041,0.02,0.0,1.0,0.0
77,-0.015133,-0.013636,-0.002193,-0.007029,0.009361,-0.007868,-0.004661,-0.00542,-0.009713,1,0.991266,0.997552,0.992132,0.560464,0.92849,0.866841,0.837043,0.02,0.0,1.0,0.0
78,-0.001291,-0.005572,0.012994,-0.005996,0.004006,-0.00621,-0.00511,-0.007868,0.006576,11,0.996672,0.998343,0.99379,0.562065,0.930544,0.872537,0.836983,0.02,0.0,1.0,0.0
79,-0.008013,-0.004714,-0.010645,-0.006359,0.00194,-0.006665,-0.005264,-0.00621,-0.001802,10,0.995524,0.999546,0.993335,0.556561,0.931127,0.872848,0.836965,0.02,0.0,1.0,0.0
80,0.00126,-0.002499,-0.010767,-0.004988,0.011226,-0.004668,-0.00546,-0.006665,0.007925,9,0.991239,0.998003,0.995332,0.557865,0.929206,0.867162,0.837023,0.02,0.0,1.0,0.0
81,0.001164,-0.002499,0.009765,-0.00388,0.001253,-0.003198,-0.005349,-0.004668,0.005832,8,0.996014,0.99853,0.996802,0.550903,0.930103,0.874665,0.836997,0.02,0.0,1.0,0.0
82,-0.006208,-0.001981,0.004314,-0.004299,0.010822,-0.003957,-0.005048,-0.003198,-0.00301,7,0.991854,0.999241,0.996043,0.561364,0.931304,0.867055,0.836959,0.02,0.0,1.0,0.0
83,0.00595,0.007973,-0.027362,-0.002454,0.017828,-0.00146,-0.004895,-0.003957,0.009906,6,0.991981,0.997504,0.99854,0.556265,0.928562,0.867463,0.837041,0.02,0.0,1.0,0.0
84,-0.010147,-0.005145,0.003435,-0.003839,0.013485,-0.003649,-0.004414,-0.00146,-0.008687,5,0.988378,0.997811,0.996351,0.553742,0.928406,0.864937,0.837045,0.02,0.0,1.0,0.0
85,-0.002643,-0.005447,-0.005003,-0.003624,0.004406,-0.003396,-0.004307,-0.003649,0.001006,4,0.996558,0.999747,0.996604,0.563026,0.932887,0.872164,0.836905,0.02,0.0,1.0,0.0
86,0.004391,0.000763,0.005573,-0.002181,0.00316,-0.001434,-0.004179,-0.003396,0.007787,3,0.993641,0.998038,0.998566,0.562726,0.931588,0.869462,0.83695,0.02,0.0,1.0,0.0
87,0.007553,0.005367,-0.006521,-0.000429,0.010775,0.000831,-0.003795,-0.001434,0.008986,2,0.991372,0.997736,0.999169,0.561265,0.930428,0.866601,0.836987,0.02,0.0,1.0,0.0
88,-0.005464,0.003908,-0.014951,-0.001335,0.004305,-0.000755,-0.003147,0.000831,-0.006295,1,0.989583,0.998414,0.999245,0.549196,0.930025,0.868243,0.836999,0.02,0.0,1.0,0.0
89,-0.01078,-0.008731,0.001889,-0.003035,0.009786,-0.003282,-0.002813,-0.000755,-0.010024,11,0.991227,0.997474,0.996718,0.553545,0.92847,0.868273,0.837044,0.02,0.0,1.0,0.0
90,-0.014714,-0.007889,-0.00532,-0.005138,0.012916,-0.006163,-0.002878,-0.003282,-0.011433,10,0.985855,0.997119,0.993837,0.564934,0.928757,0.860019,0.837036,0.02,0.0,1.0,0.0
91,0.006642,-0.000265,-0.009455,-0.003017,0.017026,-0.002936,-0.003338,-0.006163,0.012804,9,0.985112,0.996773,0.997064,0.557915,0.927722,0.860328,0.837063,0.02,0.0,1.0,0.0
92,-0.00025,-0.003679,0.013284,-0.002519,0.004462,-0.002259,-0.003282,-0.002936,0.002686,8,0.99832,0.999323,0.997741,0.557712,0.931906,0.875088,0.836939,0.02,0.0,1.0,0.0
93,-0.008284,-0.003239,-0.001506,-0.003557,0.009447,-0.003777,-0.003139,-0.002259,-0.006025,7,0.990603,0.998482,0.996223,0.559909,0.930437,0.86629,0.836987,0.02,0.0,1.0,0.0
94,0.004938,0.004155,-0.009021,-0.002028,0.009212,-0.001581,-0.003228,-0.003777,0.008716,6,0.993357,0.997804,0.998419,0.555598,0.929621,0.87002,0.837011,0.02,0.0,1.0,0.0
95,-0.001572,5.6e-05,-0.015326,-0.001946,0.006515,-0.001579,-0.002997,-0.001581,8e-06,5,0.999137,0.999998,0.998421,0.555543,0.932283,0.876135,0.836926,0.02,0.0,1.0,0.0
96,0.002233,-0.000722,0.002919,-0.001193,0.002741,-0.000618,-0.002799,-0.001579,0.003812,4,0.99562,0.999039,0.999382,0.552523,0.931399,0.873736,0.836956,0.02,0.0,1.0,0.0
97,-0.002441,0.001325,-0.012031,-0.001418,0.001738,-0.001077,-0.002493,-0.000618,-0.001823,3,0.997144,0.999541,0.998923,0.563236,0.93354,0.873024,0.836881,0.02,0.0,1.0,0.0
98,-0.006276,-0.003467,-0.002047,-0.002292,0.005533,-0.002387,-0.002295,-0.001077,-0.005198,2,0.993977,0.99869,0.997613,0.563072,0.931878,0.869437,0.83694,0.02,0.0,1.0,0.0
99,-0.002803,-0.001733,-0.001229,-0.002384,0.002086,-0.002492,-0.002308,-0.002387,-0.000416,1,0.998083,0.999895,0.997508,0.558775,0.93287,0.874902,0.836906,0.02,0.0,1.0,0.0
100,-0.00396,-0.003729,-0.0087,-0.002668,0.002598,-0.002862,-0.002334,-0.002492,-0.001468,11,0.999664,0.99963,0.997138,0.561064,0.93278,0.875918,0.836909,0.02,0.0,1.0,0.0
101,-0.018752,-0.01238,0.026126,-0.005563,0.033724,-0.006866,-0.002408,-0.002862,-0.01589,10,0.977512,0.995996,0.993134,0.558752,0.924345,0.85054,0.837138,0.02,0.0,1.0,0.0
102,-0.001846,-0.003243,-0.011087,-0.004894,0.007035,-0.005601,-0.003032,-0.006866,0.005021,9,0.995581,0.998735,0.994399,0.559774,0.930479,0.871587,0.836985,0.02,0.0,1.0,0.0
103,0.002705,-0.000467,-0.008953,-0.003526,0.010378,-0.003508,-0.003392,-0.005601,0.008306,8,0.991692,0.997907,0.996492,0.560762,0.92991,0.867079,0.837003,0.02,0.0,1.0,0.0
104,-0.007751,-0.006869,-0.005971,-0.004287,0.002009,-0.004577,-0.003408,-0.003508,-0.004243,7,0.996587,0.998931,0.995423,0.560657,0.931584,0.873001,0.83695,0.02,0.0,1.0,0.0
105,0.005227,-0.000678,-0.001778,-0.002574,0.010502,-0.002107,-0.003572,-0.004577,0.009805,6,0.98895,0.997529,0.997893,0.557293,0.929315,0.865086,0.83702,0.02,0.0,1.0,0.0
106,-0.015229,-0.01235,0.006872,-0.004852,0.016332,-0.005413,-0.003367,-0.002107,-0.013122,5,0.987044,0.996693,0.994587,0.555522,0.926725,0.86287,0.837088,0.02,0.0,1.0,0.0
107,-0.01084,-0.008755,0.003327,-0.00593,0.010725,-0.006781,-0.003653,-0.005413,-0.005427,4,0.992077,0.998632,0.993219,0.554294,0.928881,0.868845,0.837032,0.02,0.0,1.0,0.0
108,-0.007038,-0.005856,0.000153,-0.006129,0.005575,-0.006846,-0.004091,-0.006781,-0.000257,3,0.996317,0.999935,0.993154,0.558714,0.931468,0.872731,0.836954,0.02,0.0,1.0,0.0
109,-0.005979,-0.005778,-0.006233,-0.006102,6.2e-05,-0.006627,-0.004477,-0.006846,0.000866,2,0.999121,0.999782,0.993373,0.550035,0.930603,0.878106,0.836982,0.02,0.0,1.0,0.0
110,-0.003326,-0.006373,0.008001,-0.005603,0.003547,-0.005795,-0.004778,-0.006627,0.003301,1,0.998325,0.999168,0.994205,0.561071,0.931447,0.874464,0.836954,0.02,0.0,1.0,0.0
111,0.01024,0.006209,-0.013213,-0.002751,0.018371,-0.001755,-0.00492,-0.005795,0.016035,11,0.985306,0.995959,0.998245,0.557627,0.926949,0.860424,0.837082,0.02,0.0,1.0,0.0
112,-0.001184,-0.001244,-0.004288,-0.002469,0.001926,-0.001611,-0.004477,-0.001755,0.00057,10,0.999218,0.999856,0.998389,0.554825,0.932471,0.876925,0.83692,0.02,0.0,1.0,0.0
113,0.002309,-0.001013,0.000142,-0.001609,0.004843,-0.000623,-0.004076,-0.001611,0.003919,9,0.99458,0.999012,0.999377,0.56232,0.932628,0.870289,0.836914,0.02,0.0,1.0,0.0
114,0.004983,0.003085,-0.006067,-0.000422,0.008655,0.00079,-0.003592,-0.000623,0.005607,8,0.993518,0.998587,0.99921,0.557033,0.930947,0.869933,0.836971,0.02,0.0,1.0,0.0
115,0.0006,-0.003738,-0.006651,-0.000238,0.008978,0.000742,-0.002979,0.00079,-0.00019,7,0.993807,0.999952,0.999258,0.561075,0.933026,0.869293,0.8369,0.02,0.0,1.0,0.0
116,0.001444,0.000789,-0.008716,6.4e-05,0.006795,0.000919,-0.002458,0.000742,0.000702,6,0.996821,0.999823,0.999081,0.553983,0.931995,0.874129,0.836936,0.02,0.0,1.0,0.0
117,0.007583,0.005698,-0.001844,0.001418,0.007667,0.002598,-0.001985,0.000919,0.006665,5,0.993259,0.998321,0.997402,0.560396,0.930806,0.869052,0.836975,0.02,0.0,1.0,0.0
118,0.003543,0.003566,0.01224,0.0018,0.005243,0.002836,-0.001344,0.002598,0.000945,4,0.99902,0.999762,0.997164,0.557524,0.932135,0.875736,0.836931,0.02,0.0,1.0,0.0
119,0.010864,0.003148,0.011532,0.003432,0.00783,0.004859,-0.000758,0.002836,0.008028,3,0.988269,0.997977,0.995141,0.557183,0.929367,0.864749,0.837019,0.02,0.0,1.0,0.0
120,-0.013465,-0.004381,0.003182,0.00039,0.019677,0.000242,2.8e-05,0.004859,-0.018324,2,0.980349,0.995382,0.999758,0.56308,0.927384,0.85411,0.837072,0.02,0.0,1.0,0.0
121,0.008753,0.003474,0.005723,0.001896,0.00745,0.002387,5.8e-05,0.000242,0.008512,1,0.990341,0.997855,0.997613,0.561223,0.930496,0.865978,0.836985,0.02,0.0,1.0,0.0
122,0.006406,0.003381,-0.015693,0.002708,0.016486,0.0034,0.000384,0.002387,0.00402,11,0.99042,0.998987,0.9966,0.553515,0.929421,0.866668,0.837017,0.02,0.0,1.0,0.0
123,0.014503,0.011225,0.000662,0.004831,0.011802,0.006198,0.000806,0.0034,0.011104,10,0.988829,0.997202,0.993802,0.566385,0.929168,0.862808,0.837024,0.02,0.0,1.0,0.0
124,0.001079,0.002244,-0.002187,0.004156,0.000717,0.004908,0.001561,0.006198,-0.005119,9,0.998216,0.99871,0.995092,0.553972,0.930386,0.876256,0.836988,0.02,0.0,1.0,0.0
125,-0.002789,0.000229,-0.007391,0.002906,0.000457,0.002968,0.00203,0.004908,-0.007697,8,0.995272,0.99806,0.997032,0.560198,0.931121,0.871973,0.836965,0.02,0.0,1.0,0.0
126,0.013258,0.009463,-0.00772,0.004769,0.016635,0.005561,0.002161,0.002968,0.01029,7,0.987279,0.997407,0.994439,0.56279,0.928529,0.861469,0.837042,0.02,0.0,1.0,0.0
127,0.00132,0.004734,0.00456,0.004148,0.005585,0.004493,0.002637,0.005561,-0.004241,6,0.994746,0.998931,0.995507,0.55546,0.930469,0.871874,0.836986,0.02,0.0,1.0,0.0
128,-0.005515,0.000779,0.010828,0.002409,0.016519,0.001971,0.002897,0.004493,-0.010008,5,0.986582,0.997478,0.998029,0.554848,0.928325,0.862533,0.837047,0.02,0.0,1.0,0.0
129,0.00209,-0.000496,0.017587,0.002351,0.00654,0.002001,0.002767,0.001971,0.000119,4,0.999611,0.99997,0.997999,0.556295,0.932257,0.876441,0.836927,0.02,0.0,1.0,0.0
130,-0.008819,-0.002041,-0.003437,0.000341,0.010458,-0.000726,0.00266,0.002001,-0.010819,3,0.987579,0.997274,0.999274,0.554606,0.928982,0.86431,0.83703,0.02,0.0,1.0,0.0
