cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,shadow_pressure,shadow_archive,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
23,-0.007153,-0.001777,-0.004432,-0.00205,0.007982,-0.003477,0.001548,0.001123,0.000624,-0.001582,-0.003905,0.000295,-0.007447,11,0.901889,0.998123,0.998418,0.55438,0.938992,0.789992,0.836649,0.02,0.0,1.0,0.0
24,-0.007707,-0.007229,-0.008959,-0.003182,6.6e-05,-0.005834,0.000619,0.001032,0.000573,-0.003125,-0.003579,-0.001582,-0.006125,10,0.907418,0.998457,0.996875,0.55791,0.940222,0.795771,0.836589,0.02,0.0,1.0,0.0
25,5.7e-05,-0.002684,-0.004283,-0.002534,0.005883,-0.002476,0.000314,0.000903,0.000501,-0.002323,-0.003516,-0.003125,0.003182,9,0.905696,0.999198,0.997677,0.557282,0.940487,0.793483,0.836575,0.02,0.0,1.0,0.0
26,-0.003732,-0.005001,0.005831,-0.002773,0.005428,0.004851,0.000817,0.000887,0.000493,-0.002678,-0.003349,-0.002323,-0.001409,8,0.908043,0.999645,0.997322,0.554093,0.940481,0.796524,0.836576,0.02,0.0,1.0,0.0
27,-0.009555,-0.006603,0.012345,-0.00413,0.018737,0.009531,0.001941,0.001077,0.000598,-0.004411,-0.003255,-0.002678,-0.006876,7,0.899186,0.998267,0.995589,0.56024,0.938172,0.78483,0.836688,0.02,0.0,1.0,0.0
28,-0.00031,-0.001387,-0.012915,-0.003366,0.009589,-0.007732,0.00072,0.001013,0.000563,-0.003378,-0.003417,-0.004411,0.004101,6,0.905184,0.998967,0.996622,0.561803,0.940226,0.791616,0.836589,0.02,0.0,1.0,0.0
29,-0.001777,-0.000518,0.001926,-0.003048,0.004101,0.002154,0.000842,0.000982,0.000546,-0.002974,-0.003411,-0.003378,0.0016,5,0.9081,0.999597,0.997026,0.561334,0.941435,0.795287,0.836526,0.02,0.0,1.0,0.0
30,-0.006493,-0.00674,0.006598,-0.003737,0.009122,0.00571,0.001392,0.001056,0.000587,-0.003861,-0.00335,-0.002974,-0.003519,4,0.905371,0.999113,0.996139,0.5561,0.939564,0.792998,0.836622,0.02,0.0,1.0,0.0
31,-0.006563,-0.004113,-0.01328,-0.004302,0.001527,-0.008566,0.000129,0.000889,0.000494,-0.004542,-0.003422,-0.003861,-0.002702,3,0.907835,0.999319,0.995458,0.555783,0.940338,0.796446,0.836583,0.02,0.0,1.0,0.0
32,-0.001245,-0.002606,0.007855,-0.003691,0.004952,0.006609,0.000992,0.000908,0.000504,-0.003711,-0.003578,-0.004542,0.003297,2,0.909637,0.999169,0.996289,0.558339,0.940369,0.797324,0.836581,0.02,0.0,1.0,0.0
33,-0.006037,-0.004744,0.013964,-0.00416,0.015519,0.010955,0.002231,0.001146,0.000637,-0.004297,-0.003597,-0.003711,-0.002326,1,0.902667,0.999414,0.995703,0.561017,0.939758,0.788538,0.836612,0.02,0.0,1.0,0.0
34,0.007124,-0.001563,0.017538,-0.001903,0.002445,0.013804,0.003687,0.001603,0.000891,-0.001419,-0.003695,-0.004297,0.011421,11,0.900993,0.997122,0.998581,0.553292,0.938424,0.789952,0.836676,0.02,0.0,1.0,0.0
35,0.004348,0.000534,0.006925,-0.000653,0.002464,0.005705,0.004027,0.002039,0.001133,3.4e-05,-0.003376,-0.001419,0.005768,10,0.905189,0.998547,0.999966,0.55557,0.940434,0.793666,0.836578,0.02,0.0,1.0,0.0
36,-0.017359,-0.007804,-0.000339,-0.003994,0.022843,-5.6e-05,0.00351,0.002304,0.00128,-0.004348,-0.002899,3.4e-05,-0.017393,9,0.890915,0.995618,0.995652,0.548707,0.933587,0.778304,0.83688,0.02,0.0,1.0,0.0
37,0.005165,0.001094,-0.007019,-0.002162,0.012839,-0.003826,0.00257,0.002352,0.001307,-0.001951,-0.003102,-0.004348,0.009514,8,0.900485,0.997603,0.998049,0.558316,0.93836,0.78715,0.836679,0.02,0.0,1.0,0.0
38,-0.00591,-0.00353,-0.010321,-0.002912,7.3e-05,-0.006628,0.001477,0.002195,0.001219,-0.002949,-0.002941,-0.001951,-0.003959,7,0.907191,0.999003,0.997051,0.560965,0.94115,0.794868,0.836541,0.02,0.0,1.0,0.0
39,0.007845,0.005256,0.013066,-0.00076,0.000486,0.009721,0.002541,0.002257,0.001254,-0.000229,-0.002942,-0.002949,0.010794,6,0.905235,0.99728,0.999771,0.562589,0.94023,0.792534,0.836588,0.02,0.0,1.0,0.0
40,-0.015881,-0.010183,-0.006703,-0.003784,0.013152,-0.004903,0.001624,0.002143,0.00119,-0.004173,-0.002562,-0.000229,-0.015651,5,0.896943,0.996057,0.995827,0.549779,0.93518,0.78529,0.836818,0.02,0.0,1.0,0.0
41,-0.000628,-0.000538,0.000738,-0.003153,0.001192,0.001428,0.001592,0.002044,0.001135,-0.003279,-0.002788,-0.004173,0.003545,4,0.909422,0.999107,0.996721,0.559335,0.940861,0.797298,0.836556,0.02,0.0,1.0,0.0
42,-0.003714,-0.003027,-0.004445,-0.003265,0.000539,-0.00224,0.001104,0.001875,0.001041,-0.003389,-0.002857,-0.003279,-0.000434,3,0.908944,0.999891,0.996611,0.55869,0.941604,0.797037,0.836517,0.02,0.0,1.0,0.0
43,0.008001,0.003321,-0.00818,-0.001012,0.016397,-0.004905,0.000341,0.001599,0.000888,-0.000519,-0.002931,-0.003389,0.01139,2,0.898139,0.99713,0.999481,0.556421,0.937651,0.784798,0.836712,0.02,0.0,1.0,0.0
44,0.002636,0.001992,-0.006066,-0.000282,0.00672,-0.003919,-0.000208,0.001273,0.000707,0.000276,-0.002593,-0.000519,0.003155,1,0.906201,0.999205,0.999724,0.563119,0.941623,0.7927,0.836516,0.02,0.0,1.0,0.0
45,0.000672,-0.001434,0.005291,-9.2e-05,0.000855,0.003862,0.000268,0.001092,0.000607,0.000376,-0.002192,0.000276,0.000396,11,0.908938,0.9999,0.999624,0.555028,0.941834,0.797769,0.836505,0.02,0.0,1.0,0.0
46,0.014018,0.005563,0.005607,0.00273,0.015588,0.003902,0.000685,0.001019,0.000566,0.003813,-0.001832,0.000376,0.013642,10,0.89514,0.996563,0.996187,0.561812,0.937136,0.78085,0.836735,0.02,0.0,1.0,0.0
47,-0.00168,9.5e-05,0.00853,0.001848,0.008907,0.005401,0.001303,0.00107,0.000594,0.002429,-0.001042,0.003813,-0.005493,9,0.904559,0.998616,0.997571,0.561585,0.940133,0.791114,0.836593,0.02,0.0,1.0,0.0
48,-0.005127,-0.000363,0.009105,0.000453,0.015069,0.005814,0.001912,0.001222,0.000679,0.000525,-0.000556,0.002429,-0.007556,8,0.89992,0.998096,0.999475,0.558077,0.938975,0.786429,0.83665,0.02,0.0,1.0,0.0
49,-0.010577,-0.003024,-0.00905,-0.001753,0.009647,-0.007011,0.000815,0.001148,0.000638,-0.002272,-0.000405,0.000525,-0.011102,7,0.898831,0.997203,0.997728,0.558274,0.938256,0.785955,0.836684,0.02,0.0,1.0,0.0
50,0.002785,-1.8e-05,0.004385,-0.000845,0.002005,0.003625,0.001145,0.001148,0.000638,-0.000998,-0.000666,-0.002272,0.005058,6,0.906291,0.998726,0.999002,0.560326,0.941094,0.793922,0.836544,0.02,0.0,1.0,0.0
51,-0.007235,0.00067,0.000663,-0.002123,0.014409,0.000952,0.001072,0.001134,0.00063,-0.002569,-0.000713,-0.000998,-0.006237,5,0.898465,0.998429,0.997431,0.557385,0.938815,0.785196,0.836658,0.02,0.0,1.0,0.0
52,-0.005845,-0.005804,-0.007565,-0.002868,0.000808,-0.004826,0.000381,0.000998,0.000555,-0.003395,-0.000973,-0.002569,-0.003276,4,0.908797,0.999175,0.996605,0.560926,0.941194,0.79646,0.836539,0.02,0.0,1.0,0.0
53,-0.004592,-0.003666,-0.017236,-0.003213,0.007324,-0.011313,-0.001101,0.000621,0.000345,-0.003697,-0.001312,-0.003395,-0.001198,3,0.908794,0.999698,0.996303,0.564413,0.941463,0.794998,0.836525,0.02,0.0,1.0,0.0
54,0.000268,-0.001438,0.010111,-0.002516,0.005106,0.008783,0.000103,0.000527,0.000293,-0.002698,-0.001646,-0.003697,0.003964,2,0.909573,0.999001,0.997302,0.555102,0.940016,0.79791,0.836599,0.02,0.0,1.0,0.0
55,0.000315,-0.001023,-0.001088,-0.00195,0.002383,-0.000426,8.7e-05,0.000448,0.000249,-0.001939,-0.001793,-0.002698,0.003012,1,0.907691,0.999241,0.998061,0.55737,0.940999,0.795906,0.836549,0.02,0.0,1.0,0.0
56,0.006334,0.002135,0.007315,-0.000293,0.004142,0.005429,0.000721,0.000497,0.000276,0.000146,-0.001813,-0.001939,0.008273,11,0.903595,0.997915,0.999854,0.559791,0.94023,0.791112,0.836588,0.02,0.0,1.0,0.0
57,0.00448,0.000898,0.004783,0.000661,0.00385,0.003662,0.001031,0.000593,0.00033,0.001238,-0.001539,0.000146,0.004334,10,0.905178,0.998908,0.998762,0.559303,0.940927,0.792822,0.836553,0.02,0.0,1.0,0.0
58,-0.009021,-0.004141,0.008762,-0.001275,0.017825,0.005802,0.001557,0.000767,0.000426,-0.001347,-0.00115,0.001238,-0.010259,9,0.89779,0.997415,0.998653,0.554767,0.937423,0.784655,0.836722,0.02,0.0,1.0,0.0
59,-0.002366,-0.000943,0.006486,-0.001493,0.007728,0.004687,0.001927,0.000976,0.000542,-0.001604,-0.001178,-0.001347,-0.001019,8,0.906071,0.999743,0.998396,0.559317,0.941271,0.793226,0.836535,0.02,0.0,1.0,0.0
60,-0.000409,0.002005,-0.006474,-0.001276,0.001442,-0.004163,0.001172,0.001011,0.000562,-0.001303,-0.001237,-0.001604,0.001195,7,0.909468,0.999699,0.998697,0.562987,0.9424,0.796641,0.836474,0.02,0.0,1.0,0.0
61,-0.002266,0.002511,-0.019394,-0.001474,0.006368,-0.013366,-0.000629,0.000716,0.000398,-0.001545,-0.001246,-0.001303,-0.000964,6,0.909197,0.999757,0.998455,0.557046,0.94115,0.796983,0.836541,0.02,0.0,1.0,0.0
62,-0.01552,-0.011138,0.002535,-0.004283,0.017879,0.00231,-0.000224,0.000547,0.000304,-0.005067,-0.001288,-0.001545,-0.013975,5,0.896323,0.996479,0.994933,0.553607,0.93549,0.783426,0.836805,0.02,0.0,1.0,0.0
63,-0.003409,-0.003919,0.003309,-0.004109,0.004337,0.003361,0.000169,0.000479,0.000266,-0.004649,-0.001817,-0.005067,0.001658,4,0.90872,0.999582,0.995351,0.563229,0.94128,0.795528,0.836534,0.02,0.0,1.0,0.0
64,-0.007367,-0.009322,0.010282,-0.00476,0.010579,0.009438,0.001366,0.000638,0.000355,-0.005334,-0.002214,-0.004649,-0.002718,3,0.905748,0.999315,0.994666,0.54982,0.938483,0.794479,0.836674,0.02,0.0,1.0,0.0
65,-0.012262,-0.00742,0.007991,-0.006261,0.019805,0.006559,0.002019,0.000887,0.000493,-0.00708,-0.002651,-0.005334,-0.006928,2,0.897454,0.998254,0.99292,0.554462,0.936696,0.784136,0.836754,0.02,0.0,1.0,0.0
66,-0.001068,-0.001942,-0.020739,-0.005222,0.014152,-0.013118,0.000139,0.000752,0.000418,-0.005565,-0.003271,-0.00708,0.006012,1,0.903358,0.998485,0.994435,0.558795,0.938408,0.789859,0.836677,0.02,0.0,1.0,0.0
67,-0.005162,-0.002877,-0.015483,-0.00521,0.004268,-0.010354,-0.001152,0.000409,0.000227,-0.005463,-0.003592,-0.005565,0.000403,11,0.909463,0.999898,0.994537,0.557212,0.940635,0.797486,0.836568,0.02,0.0,1.0,0.0
68,-0.014159,-0.008047,-0.008348,-0.007,0.011421,-0.004726,-0.001586,5e-05,2.8e-05,-0.007655,-0.003854,-0.005463,-0.008696,10,0.899046,0.997809,0.992345,0.563409,0.938159,0.784991,0.836689,0.02,0.0,1.0,0.0
69,0.001153,-0.001611,-0.00153,-0.005369,0.004617,0.000873,-0.001308,-0.000194,0.000108,-0.005435,-0.004386,-0.007655,0.008808,9,0.904773,0.997781,0.994565,0.549355,0.937489,0.794337,0.836719,0.02,0.0,1.0,0.0
70,-0.002607,-0.001561,-0.010806,-0.004817,0.004233,-0.006766,-0.002026,-0.000524,0.000291,-0.004723,-0.004533,-0.005435,0.002828,8,0.908667,0.999287,0.995277,0.555107,0.939923,0.797109,0.836604,0.02,0.0,1.0,0.0
71,-0.005151,-0.002004,-0.012012,-0.004884,0.000947,-0.007819,-0.002798,-0.000933,0.000518,-0.00483,-0.004559,-0.004723,-0.000428,7,0.90796,0.999892,0.99517,0.552218,0.940434,0.797351,0.836578,0.02,0.0,1.0,0.0
72,0.006005,0.003895,-0.009286,-0.002706,0.012837,-0.005257,-0.003158,-0.001334,0.000741,-0.0021,-0.004597,-0.00483,0.010835,6,0.90119,0.99727,0.9979,0.564109,0.938793,0.786753,0.836659,0.02,0.0,1.0,0.0
73,-0.009285,-0.006985,-0.004031,-0.004022,0.006557,-0.002479,-0.00305,-0.001643,0.000913,-0.003911,-0.004248,-0.0021,-0.007185,5,0.903712,0.99819,0.996089,0.557413,0.939035,0.791351,0.836647,0.02,0.0,1.0,0.0
74,0.000701,-0.000574,0.015042,-0.003077,0.008521,0.011483,-0.00126,-0.001574,0.000874,-0.002749,-0.004201,-0.003911,0.004612,4,0.908853,0.998838,0.997251,0.559282,0.939997,0.795887,0.8366,0.02,0.0,1.0,0.0
75,-0.006265,-0.001298,0.00367,-0.003715,0.012559,0.003096,-0.000725,-0.001421,0.000789,-0.003634,-0.003997,-0.002749,-0.003516,3,0.901408,0.999114,0.996366,0.558027,0.939508,0.788216,0.836624,0.02,0.0,1.0,0.0
76,0.003809,-0.000442,-0.005704,-0.00221,0.011161,-0.002998,-0.000987,-0.001343,0.000746,-0.001759,-0.003946,-0.003634,0.007443,2,0.901706,0.998125,0.998241,0.549387,0.937975,0.790415,0.836697,0.02,0.0,1.0,0.0
77,0.005968,0.002245,-0.006784,-0.000574,0.012983,-0.004359,-0.001351,-0.001344,0.000747,0.000188,-0.00364,-0.001759,0.007727,1,0.90099,0.998053,0.999812,0.557299,0.939112,0.787898,0.836644,0.02,0.0,1.0,0.0
78,-0.002549,-0.001854,0.003089,-0.000969,0.004706,0.002046,-0.000983,-0.001279,0.000711,-0.000502,-0.003104,0.000188,-0.002737,11,0.907069,0.99931,0.999498,0.564328,0.942034,0.793568,0.836494,0.02,0.0,1.0,0.0
79,-0.003488,0.000347,0.000213,-0.001473,0.006879,0.000243,-0.000832,-0.001199,0.000666,-0.001254,-0.00274,-0.000502,-0.002986,10,0.904449,0.999248,0.998746,0.562358,0.941329,0.791085,0.836532,0.02,0.0,1.0,0.0
80,0.003791,0.001023,0.001862,-0.00042,0.004445,0.001714,-0.000548,-0.001082,0.000601,1.7e-05,-0.002532,-0.001254,0.005045,9,0.905371,0.998729,0.999983,0.562492,0.941363,0.792279,0.83653,0.02,0.0,1.0,0.0
81,-0.00329,-0.001499,-0.015784,-0.000994,0.006487,-0.01135,-0.001932,-0.001235,0.000686,-0.000816,-0.002175,1.7e-05,-0.003307,8,0.90986,0.999167,0.999184,0.556983,0.940688,0.797616,0.836565,0.02,0.0,1.0,0.0
82,0.010844,0.008135,0.004852,0.001374,0.007469,0.003787,-0.001258,-0.001239,0.000688,0.002122,-0.001985,-0.000816,0.01166,7,0.901961,0.997062,0.997878,0.562931,0.938969,0.78841,0.83665,0.02,0.0,1.0,0.0
83,-0.00846,-0.004662,0.003563,-0.000593,0.012635,0.001835,-0.000903,-0.001178,0.000655,-0.000544,-0.00141,0.002122,-0.010582,6,0.900121,0.997334,0.999456,0.560841,0.938817,0.786371,0.836658,0.02,0.0,1.0,0.0
84,-0.003029,-0.003248,-0.012223,-0.00108,0.006407,-0.008665,-0.001861,-0.001301,0.000723,-0.00117,-0.001289,-0.000544,-0.002485,5,0.908627,0.999374,0.99883,0.55855,0.941021,0.796076,0.836548,0.02,0.0,1.0,0.0
85,-0.004613,-0.001919,-0.0023,-0.001787,0.004743,-0.001455,-0.001743,-0.001381,0.000767,-0.002038,-0.001272,-0.00117,-0.003442,4,0.905521,0.999133,0.997962,0.555561,0.940356,0.793763,0.836582,0.02,0.0,1.0,0.0
86,7.6e-05,0.005567,-0.012982,-0.001414,0.002919,-0.008946,-0.002673,-0.001613,0.000896,-0.001505,-0.001379,-0.002038,0.002114,3,0.908556,0.999467,0.998495,0.555681,0.940999,0.79698,0.836549,0.02,0.0,1.0,0.0
87,-0.001012,-0.002469,0.006787,-0.001334,0.003879,0.005387,-0.001694,-0.001628,0.000904,-0.001381,-0.001397,-0.001505,0.000493,2,0.909352,0.999876,0.998619,0.559115,0.941784,0.796973,0.836508,0.02,0.0,1.0,0.0
88,0.017262,0.00951,-0.004599,0.002385,0.024183,-0.003407,-0.001975,-0.00169,0.000939,0.003316,-0.001395,-0.001381,0.018643,1,0.891048,0.995303,0.996684,0.552311,0.933873,0.77759,0.836869,0.02,0.0,1.0,0.0
89,0.006252,0.001692,0.007203,0.003159,0.004683,0.004453,-0.001216,-0.001605,0.000892,0.004056,-0.000735,0.003316,0.002936,11,0.904503,0.99926,0.995944,0.562672,0.940939,0.791318,0.836552,0.02,0.0,1.0,0.0
90,-0.003517,0.000763,0.000654,0.001824,0.007484,-0.000847,-0.001099,-0.001514,0.000841,0.002148,-6.4e-05,0.004056,-0.007573,10,0.902964,0.998092,0.997852,0.557066,0.939212,0.790569,0.836639,0.02,0.0,1.0,0.0
91,0.007348,0.00741,0.004185,0.002929,0.002325,0.003557,-0.000459,-0.001324,0.000736,0.003458,0.000245,0.002148,0.0052,9,0.907224,0.99869,0.996542,0.552688,0.93946,0.796334,0.836627,0.02,0.0,1.0,0.0
92,0.002587,0.003016,0.000917,0.00286,0.000844,0.000244,-0.000346,-0.001148,0.000638,0.003239,0.000695,0.003458,-0.000871,8,0.909707,0.99978,0.996761,0.551596,0.940609,0.799223,0.836569,0.02,0.0,1.0,0.0
93,0.006012,0.008734,-0.001923,0.00349,0.002919,-0.002737,-0.000654,-0.001059,0.000588,0.003937,0.001051,0.003239,0.002773,7,0.909028,0.999301,0.996063,0.556844,0.94045,0.797251,0.836577,0.02,0.0,1.0,0.0
94,-0.00316,-0.004843,0.013629,0.00216,0.009716,0.009108,0.000611,-0.000758,0.000421,0.002149,0.001455,0.003937,-0.007097,6,0.905447,0.998212,0.997851,0.55023,0.938252,0.794193,0.836684,0.02,0.0,1.0,0.0
95,-0.005714,-0.00199,-0.002451,0.000586,0.006386,-0.002788,0.000232,-0.00058,0.000322,0.000168,0.001552,0.002149,-0.007863,5,0.903284,0.998019,0.999832,0.566741,0.941003,0.789137,0.836549,0.02,0.0,1.0,0.0
96,0.001454,0.001135,0.002988,0.000759,0.000627,0.002022,0.00049,-0.000388,0.000215,0.000492,0.001359,0.000168,0.001286,4,0.909616,0.999676,0.999508,0.562853,0.942656,0.796948,0.83646,0.02,0.0,1.0,0.0
97,0.010208,0.002805,0.018513,0.002649,0.002791,0.013325,0.002122,6.4e-05,3.6e-05,0.00294,0.001237,0.000492,0.009716,3,0.901641,0.997552,0.99706,0.562566,0.939741,0.788789,0.836613,0.02,0.0,1.0,0.0
98,0.005838,0.003351,0.00786,0.003287,0.001682,0.004834,0.002409,0.000486,0.00027,0.00367,0.001476,0.00294,0.002898,2,0.906688,0.99927,0.99633,0.564988,0.941688,0.793462,0.836513,0.02,0.0,1.0,0.0
99,-0.010885,-0.006255,-0.003763,0.000452,0.01021,-0.003898,0.001611,0.000689,0.000383,3e-06,0.001783,0.00367,-0.014555,1,0.899335,0.996332,0.999997,0.554957,0.937445,0.78708,0.836721,0.02,0.0,1.0,0.0
100,0.000414,0.001735,0.003323,0.000445,0.003406,0.002286,0.001723,0.000875,0.000486,0.000106,0.001534,3e-06,0.000411,11,0.908254,0.999896,0.999894,0.558476,0.942095,0.796101,0.836491,0.02,0.0,1.0,0.0
101,-0.001527,-0.004846,0.011541,5e-05,0.00538,0.008084,0.002559,0.001178,0.000654,-0.000305,0.001334,0.000106,-0.001633,10,0.909338,0.999588,0.999695,0.559753,0.941698,0.796676,0.836512,0.02,0.0,1.0,0.0
102,-0.001397,-0.001937,0.010103,-0.000239,0.007473,0.008029,0.00325,0.001551,0.000862,-0.00058,0.001104,-0.000305,-0.001092,9,0.907221,0.999725,0.99942,0.559974,0.941573,0.794244,0.836519,0.02,0.0,1.0,0.0
103,0.004267,0.000507,0.001111,0.000662,0.006421,0.000953,0.002979,0.001808,0.001004,0.000641,0.000869,-0.00058,0.004847,8,0.904099,0.998779,0.999359,0.563876,0.94122,0.790453,0.836538,0.02,0.0,1.0,0.0
104,-0.00727,-0.004191,0.000929,-0.000924,0.009297,0.000756,0.002707,0.00197,0.001094,-0.001352,0.000837,0.000641,-0.007911,7,0.902438,0.998007,0.998648,0.562883,0.939864,0.788637,0.836607,0.02,0.0,1.0,0.0
105,0.011394,0.006786,-0.009138,0.00154,0.019495,-0.005941,0.001701,0.001921,0.001067,0.001859,0.00053,-0.001352,0.012747,6,0.896405,0.996788,0.998141,0.55981,0.937119,0.781996,0.836736,0.02,0.0,1.0,0.0
106,0.00652,0.003513,0.009901,0.002536,0.001308,0.00655,0.002299,0.001989,0.001105,0.003034,0.000716,0.001859,0.00466,5,0.905989,0.998826,0.996966,0.56747,0.941687,0.792228,0.836513,0.02,0.0,1.0,0.0
107,-0.003886,0.001654,-0.02285,0.001251,0.006974,-0.017526,-0.000194,0.001596,0.000887,0.00129,0.001041,0.003034,-0.00692,4,0.907522,0.998256,0.99871,0.555448,0.93941,0.795507,0.836629,0.02,0.0,1.0,0.0
108,0.011743,0.009414,-0.004054,0.00335,0.013901,-0.003165,-0.000518,0.001216,0.000675,0.003924,0.001076,0.00129,0.010453,3,0.900021,0.997366,0.996076,0.560001,0.937834,0.786285,0.836704,0.02,0.0,1.0,0.0
