cycle,observed_self,observed_stability,observed_rigidity,observed_adaptive,deviation,observer_trust,alert
74,0.023885,0.925676,0.785877,0.837111,0.023885,0.771312,False
75,0.021312,0.935382,0.801015,0.83681,0.021312,0.772121,False
76,0.016534,0.933895,0.783915,0.836868,0.016534,0.77599,False
77,0.004915,0.93402,0.788539,0.836863,0.004915,0.777432,False
78,0.002505,0.949659,0.772766,0.836024,0.002505,0.786332,False
79,0.009061,0.942773,0.795117,0.836454,0.009061,0.778248,False
80,0.009579,0.944429,0.773275,0.836359,0.009579,0.783069,False
81,0.021882,0.92213,0.784081,0.837174,0.021882,0.770846,False
82,0.023427,0.925482,0.797216,0.837115,0.023427,0.769069,False
83,0.023361,0.930163,0.804195,0.836995,0.023361,0.769295,False
84,0.010646,0.919678,0.771522,0.837203,0.010646,0.774754,False
85,0.013675,0.929361,0.822753,0.837019,0.013675,0.767245,False
86,0.002458,0.925809,0.745554,0.837108,0.002458,0.783708,False
87,-0.007173,0.927127,0.736673,0.837078,0.007173,0.784995,False
88,-0.008097,0.945243,0.798924,0.83631,0.008097,0.778508,False
89,-0.00274,0.93751,0.759325,0.836718,0.00274,0.784895,False
90,0.001277,0.933805,0.774622,0.836871,0.001277,0.78087,False
91,0.00127,0.937469,0.788464,0.83672,0.00127,0.779347,False
92,-0.014479,0.900446,0.80037,0.837013,0.014479,0.76144,False
93,-0.004816,0.919916,0.779201,0.837201,0.004816,0.774467,False
94,-0.006713,0.927117,0.828596,0.837078,0.006713,0.766699,False
95,0.000811,0.927486,0.809462,0.837069,0.000811,0.771833,False
96,-0.003749,0.934597,0.798515,0.836841,0.003749,0.775866,False
97,-0.01649,0.915926,0.721647,0.837224,0.01649,0.782253,False
98,-0.020112,0.931601,0.803853,0.836949,0.020112,0.770505,False
99,-0.026035,0.935274,0.804911,0.836814,0.026035,0.77036,False
100,-0.018913,0.939499,0.791607,0.836625,0.018913,0.775877,False
101,-0.005143,0.918974,0.713431,0.837209,0.005143,0.787228,False
102,0.001038,0.936527,0.802697,0.836762,0.001038,0.776228,False
103,0.007628,0.927395,0.762993,0.837071,0.007628,0.779732,False
104,0.005239,0.926377,0.816936,0.837096,0.005239,0.769071,False
105,0.02006,0.905326,0.774962,0.837131,0.02006,0.767142,False
106,0.013304,0.924805,0.80706,0.837129,0.013304,0.768891,False
107,0.027,0.900779,0.798177,0.837023,0.027,0.759493,False
108,0.037165,0.909342,0.779319,0.837193,0.037165,0.764271,False
109,0.033699,0.937429,0.770271,0.836722,0.033699,0.776487,False
110,0.034125,0.937947,0.781244,0.836698,0.034125,0.774382,False
111,0.029484,0.927692,0.731423,0.837064,0.029484,0.781777,False
112,0.032546,0.935211,0.775673,0.836816,0.032546,0.774884,False
113,0.032619,0.933819,0.806911,0.836871,0.032619,0.768148,False
114,0.027265,0.923907,0.747335,0.837146,0.027265,0.777734,False
115,0.039183,0.88335,0.792941,0.836223,0.039183,0.751803,False
116,0.037723,0.913186,0.817364,0.837222,0.037723,0.757903,False
117,0.039853,0.915156,0.824216,0.837225,0.039853,0.756797,False
118,0.020759,0.907123,0.780009,0.837163,0.020759,0.76663,False
119,-0.001569,0.901384,0.730703,0.83704,0.001569,0.77829,False
120,-0.014556,0.923907,0.808489,0.837146,0.014556,0.768045,False
121,-0.011626,0.932949,0.81014,0.836903,0.011626,0.771405,False
122,-0.014899,0.937831,0.787856,0.836704,0.014899,0.776866,False
123,0.00354,0.916087,0.767052,0.837224,0.00354,0.775818,False
124,0.006383,0.936112,0.797281,0.836779,0.006383,0.776101,False
125,0.012424,0.923088,0.82092,0.83716,0.012424,0.765702,False
126,0.013224,0.920997,0.805641,0.837189,0.013224,0.767873,False
127,0.017816,0.915456,0.817955,0.837225,0.017816,0.762562,False
128,-0.004628,0.888858,0.777591,0.836542,0.004628,0.763792,False
129,-0.00638,0.92725,0.801595,0.837075,0.00638,0.772211,False
130,0.003604,0.929973,0.783588,0.837001,0.003604,0.777302,False
131,-0.014126,0.92537,0.747423,0.837117,0.014126,0.780849,False
132,-0.021422,0.935207,0.779616,0.836817,0.021422,0.776319,False
133,-0.018519,0.941636,0.806881,0.836516,0.018519,0.773622,False
134,-0.018058,0.942474,0.777864,0.83647,0.018058,0.779799,False
135,-0.019103,0.933889,0.799927,0.836868,0.019103,0.772272,False
136,-0.018772,0.924743,0.770304,0.83713,0.018772,0.775127,False
137,-0.009822,0.913986,0.809699,0.837224,0.009822,0.765297,False
138,-0.006552,0.918022,0.810161,0.837216,0.006552,0.767269,False
139,-0.005007,0.929296,0.823658,0.837021,0.005007,0.768776,False
140,0.010948,0.917679,0.794229,0.837218,0.010948,0.769457,False
141,-0.001263,0.925302,0.786356,0.837119,0.001263,0.775612,False
142,-0.005128,0.925611,0.781254,0.837112,0.005128,0.775965,False
143,-0.012384,0.926098,0.747914,0.837102,0.012384,0.78135,False
144,-0.010275,0.940015,0.797223,0.836599,0.010275,0.776655,False
145,-0.003259,0.939724,0.795969,0.836614,0.003259,0.778211,False
146,0.000261,0.913145,0.771973,0.837222,0.000261,0.774459,False
147,0.012185,0.906152,0.775293,0.837147,0.012185,0.768944,False
148,0.017532,0.90662,0.7964,0.837155,0.017532,0.763819,False
149,0.007114,0.900217,0.795655,0.837006,0.007114,0.763774,False
150,-0.013569,0.899452,0.799683,0.836983,0.013569,0.761404,False
151,-0.033459,0.902986,0.780245,0.837081,0.033459,0.762575,False
152,-0.022922,0.918058,0.745773,0.837216,0.022922,0.776885,False
153,-0.034702,0.925127,0.759816,0.837122,0.034702,0.774171,False
154,-0.02472,0.902645,0.763012,0.837072,0.02472,0.767647,False
155,-0.019123,0.929847,0.785385,0.837005,0.019123,0.773796,False
156,-0.003581,0.906813,0.711166,0.837158,0.003581,0.783725,False
157,-0.008771,0.92901,0.754101,0.837029,0.008771,0.781836,False
158,0.001818,0.919261,0.835172,0.837207,0.001818,0.763645,False
159,-0.000751,0.913781,0.83869,0.837224,0.000751,0.761241,False
160,0.003155,0.916537,0.8253,0.837223,0.003155,0.764403,False
161,0.006267,0.899485,0.837614,0.836984,0.006267,0.75529,False
162,-0.011673,0.90195,0.806785,0.837055,0.011673,0.761255,False
163,-0.007059,0.921566,0.765938,0.837182,0.007059,0.777244,False
164,-0.038351,0.89872,0.737289,0.83696,0.038351,0.768664,False
165,-0.043465,0.931274,0.76687,0.83696,0.043465,0.773119,False
166,-0.02646,0.9204,0.750114,0.837196,0.02646,0.776124,False
167,-0.010965,0.91193,0.767494,0.837216,0.010965,0.772788,False
168,-0.012468,0.931681,0.812439,0.836947,0.012468,0.770344,False
169,-0.006727,0.923068,0.82027,0.83716,0.006727,0.766964,False
170,0.002537,0.909686,0.839843,0.837197,0.002537,0.759213,False
171,0.018132,0.873048,0.744526,0.835465,0.018132,0.761901,False
172,0.010773,0.914507,0.808641,0.837225,0.010773,0.765501,False
173,0.00763,0.907943,0.771345,0.837175,0.00763,0.771279,False
174,0.006703,0.916146,0.750533,0.837224,0.006703,0.77851,False
175,-0.010525,0.915616,0.776674,0.837225,0.010525,0.772332,False
176,-0.011563,0.942396,0.799725,0.836474,0.011563,0.776699,False
177,-0.022536,0.925452,0.773718,0.837116,0.022536,0.773936,False
178,-0.017426,0.932004,0.811632,0.836936,0.017426,0.769624,False
179,3.2e-05,0.918931,0.793834,0.83721,3.2e-05,0.772155,False
180,0.018855,0.870886,0.711023,0.835279,0.018855,0.767654,False
181,0.028133,0.910051,0.80932,0.837201,0.028133,0.760327,False
182,0.016777,0.900555,0.837173,0.837016,0.016777,0.753658,False
183,-0.004027,0.899594,0.816965,0.836988,0.004027,0.759906,False
184,-0.005941,0.915178,0.81552,0.837225,0.005941,0.765326,False
185,-0.001659,0.926838,0.811424,0.837085,0.001659,0.771048,False
186,-0.024015,0.901901,0.718379,0.837053,0.024015,0.77645,False
187,-0.041577,0.911602,0.787623,0.837213,0.041577,0.762524,False
188,-0.034798,0.930509,0.793154,0.836984,0.034798,0.769334,False
189,-0.03685,0.905948,0.793971,0.837143,0.03685,0.760203,False
190,-0.029746,0.925231,0.72941,0.83712,0.029746,0.78128,False
191,-0.021514,0.916408,0.8316,0.837223,0.021514,0.759426,False
192,-0.02462,0.912242,0.82506,0.837217,0.02462,0.758653,False
193,-0.007764,0.896419,0.834904,0.83688,0.007764,0.754433,False
194,-0.004976,0.913789,0.832491,0.837224,0.004976,0.761639,False
195,-0.010219,0.916662,0.84136,0.837222,0.010219,0.759821,False
196,-0.015648,0.931113,0.806609,0.836965,0.015648,0.770679,False
197,-0.014663,0.926814,0.788639,0.837085,0.014663,0.772996,False
198,-0.005509,0.91177,0.788917,0.837215,0.005509,0.769538,False
199,0.003401,0.915676,0.727358,0.837225,0.003401,0.783641,False
200,0.004193,0.94633,0.779886,0.836243,0.004193,0.78346,False
201,0.014777,0.902329,0.711414,0.837064,0.014777,0.779843,False
202,-0.00532,0.88946,0.807352,0.836573,0.00532,0.75792,False
203,-0.00705,0.9078,0.833976,0.837173,0.00705,0.758818,False
204,-0.01548,0.888493,0.851915,0.836522,0.01548,0.746624,False
205,-0.014268,0.907581,0.861019,0.83717,0.014268,0.751888,False
206,-0.013513,0.903146,0.774426,0.837084,0.013513,0.767784,False
207,0.002852,0.904168,0.727958,0.837108,0.002852,0.779574,False
208,-0.001034,0.938546,0.798541,0.836671,0.001034,0.777744,False
209,0.005912,0.933867,0.79686,0.836869,0.005912,0.775516,False
210,0.018241,0.920948,0.786992,0.83719,0.018241,0.770583,False
211,0.032252,0.922046,0.791291,0.837175,0.032252,0.767301,False
212,0.023253,0.927178,0.788676,0.837077,0.023253,0.771396,False
213,-0.008883,0.872942,0.796731,0.835456,0.008883,0.753271,False
214,-0.011055,0.906174,0.812108,0.837147,0.011055,0.761815,False
215,-0.004382,0.901791,0.863235,0.837051,0.004382,0.751366,False
216,-0.014106,0.899113,0.837225,0.836973,0.014106,0.753667,False
217,-0.014639,0.922989,0.838104,0.837161,0.014639,0.761788,False
218,-0.009775,0.900003,0.76472,0.837,0.009775,0.769352,False
219,-0.002818,0.927118,0.715837,0.837078,0.002818,0.79003,False
220,0.011447,0.921662,0.730482,0.837181,0.011447,0.783491,False
