cycle,truth_sample,truth_state,truth_load,bridge_output,bridge_state,bridge_load,shadow_pressure,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
11,0.019737,0.000868,0.000482,0.008032,0.000627,0.010111,-0.003406,0.006254,0.003474,0.000841,1.4e-05,-0.00158,0.009612,1,0.912708,0.997579,0.999159,0.562817,0.94401,0.804337,0.836383,0.025,0.044,1.0,0.0
12,0.022292,0.001066,0.000592,0.010635,0.002629,0.013633,-0.001449,0.005727,0.003181,0.003308,0.00013,0.000841,0.009794,11,0.909558,0.997533,0.996692,0.560512,0.942871,0.801272,0.836448,0.025,0.048,1.0,0.0
13,0.006261,0.001276,0.000709,-0.002652,0.001573,0.004416,-0.00777,0.004999,0.002777,0.001807,0.000575,0.003308,-0.00596,10,0.912559,0.998499,0.998193,0.562901,0.945188,0.80488,0.836314,0.025,0.052,1.0,0.0
14,0.014,0.001556,0.000864,0.00859,0.002976,0.013846,-0.005647,0.004211,0.00234,0.003516,0.000747,0.001807,0.006783,9,0.911055,0.998291,0.996484,0.556836,0.943088,0.803542,0.836436,0.025,0.056,1.0,0.0
15,0.01134,0.001864,0.001036,0.00924,0.004229,0.010771,-0.000527,0.003537,0.001965,0.004958,0.001135,0.003516,0.005725,8,0.911526,0.998558,0.995042,0.56375,0.944146,0.803084,0.836376,0.025,0.06,1.0,0.0
16,-0.004562,0.00207,0.00115,-0.000212,0.003341,0.015037,0.013253,0.003301,0.001834,0.003655,0.00167,0.004958,-0.00517,7,0.912441,0.998698,0.996345,0.555251,0.943143,0.805164,0.836433,0.025,0.064,1.0,0.0
17,0.01101,0.002249,0.001249,0.061023,0.014877,0.151236,0.150976,0.006733,0.003741,0.018105,0.001948,0.003655,0.057367,6,0.907375,0.98555,0.981895,0.563865,0.916974,0.783293,0.837221,0.025,0.068,1.0,0.0
18,0.001907,0.002388,0.001326,0.004714,0.012845,0.004237,-0.008021,0.008818,0.004899,0.014733,0.00421,0.018105,-0.013391,5,0.916741,0.996628,0.985267,0.566284,0.941033,0.808257,0.836547,0.025,0.072,1.0,0.0
19,0.012785,0.002576,0.001431,0.010085,0.012293,0.000636,0.004652,0.010204,0.005669,0.013562,0.005683,0.014733,-0.004647,4,0.917885,0.99883,0.986438,0.550824,0.941659,0.812664,0.836514,0.025,0.076,1.0,0.0
20,0.000148,0.002762,0.001535,0.003372,0.010509,0.003507,0.002608,0.011015,0.006119,0.010996,0.006786,0.013562,-0.01019,3,0.916753,0.997434,0.989004,0.554552,0.941099,0.810467,0.836544,0.025,0.08,1.0,0.0
21,-0.004002,0.002923,0.001624,-0.045333,-0.00066,0.163829,-0.14692,0.007933,0.004407,-0.003191,0.007376,0.010996,-0.05633,2,0.918001,0.985813,0.996809,0.561299,0.918829,0.792974,0.83721,0.025,0.084,1.0,0.0
22,0.000469,0.003139,0.001744,-0.005767,-0.001681,0.018813,0.011033,0.005799,0.003222,-0.00384,0.005896,-0.003191,-0.002577,1,0.909157,0.999351,0.99616,0.557134,0.94344,0.800997,0.836416,0.025,0.088,1.0,0.0
23,0.031467,0.003719,0.002066,0.013155,0.001286,0.017253,-0.008686,0.003941,0.00219,0.000442,0.004533,-0.00384,0.016995,11,0.908383,0.995718,0.999558,0.552566,0.940546,0.801382,0.836572,0.025,0.092,1.0,0.0
24,0.006306,0.004314,0.002397,0.000646,0.001158,0.010483,0.009359,0.002732,0.001518,0.000493,0.003961,0.000442,0.000204,10,0.915283,0.999949,0.999507,0.55576,0.945341,0.808504,0.836304,0.025,0.096,1.0,0.0
25,0.008573,0.004794,0.002663,0.003247,0.001576,0.004514,-0.003264,0.001698,0.000944,0.001187,0.003475,0.000493,0.002754,9,0.91759,0.999306,0.998813,0.562585,0.946,0.810241,0.836264,0.025,0.1,1.0,0.0
26,0.017554,0.005383,0.002991,0.010929,0.003447,0.010341,0.022971,0.001425,0.000792,0.003642,0.003155,0.001187,0.009742,8,0.918148,0.997545,0.996358,0.550074,0.941872,0.812566,0.836503,0.025,0.104,1.0,0.0
27,-0.008613,0.005689,0.003161,-0.000362,0.002685,0.002301,0.004426,0.001289,0.000716,0.002633,0.003223,0.003642,-0.004005,7,0.919119,0.998991,0.997367,0.559045,0.945173,0.812733,0.836315,0.025,0.108,1.0,0.0
28,-0.003786,0.005763,0.003202,-0.000608,0.002026,0.003073,-0.006592,0.001025,0.000569,0.001816,0.00314,0.002633,-0.003241,6,0.919149,0.999183,0.998184,0.547795,0.944105,0.814833,0.836378,0.025,0.112,1.0,0.0
29,-0.003014,0.005758,0.003199,0.002532,0.002127,0.010063,-0.008831,0.000606,0.000336,0.001997,0.002955,0.001816,0.000716,5,0.915693,0.99982,0.998003,0.557211,0.945154,0.808843,0.836316,0.025,0.116,1.0,0.0
30,-0.01352,0.005548,0.003082,-0.006605,0.000381,0.008112,0.002518,0.000335,0.000186,-0.000171,0.002821,0.001997,-0.008602,4,0.913544,0.997832,0.999829,0.561221,0.944433,0.806156,0.836359,0.025,0.12,1.0,0.0
31,-0.01333,0.005178,0.002876,-0.057036,-0.011103,0.162752,-0.159022,-0.003472,0.001929,-0.014499,0.002402,-0.000171,-0.056865,3,0.912547,0.985672,0.985501,0.558067,0.916136,0.788563,0.837224,0.025,0.124,1.0,0.0
32,0.008119,0.004947,0.002748,0.003754,-0.008131,0.013114,0.000426,-0.006138,0.00341,-0.009901,3.6e-05,-0.014499,0.018253,2,0.907469,0.995402,0.990099,0.550303,0.938249,0.801265,0.836684,0.025,0.128,1.0,0.0
33,0.007357,0.004716,0.00262,0.006327,-0.00524,0.009943,0.003586,-0.00785,0.004361,-0.005814,-0.001355,-0.009901,0.016228,1,0.909028,0.995913,0.994186,0.551852,0.939977,0.802778,0.836601,0.025,0.132,1.0,0.0
34,0.004387,0.004532,0.002518,-0.004062,-0.005004,0.008321,-0.009287,-0.009134,0.005075,-0.005373,-0.001979,-0.005814,0.001751,11,0.917178,0.999559,0.994627,0.552466,0.94351,0.810913,0.836412,0.025,0.136,1.0,0.0
35,0.00608,0.00432,0.0024,0.006313,-0.002741,0.007549,0.008102,-0.009677,0.005376,-0.00243,-0.002454,-0.005373,0.011685,10,0.909701,0.997057,0.99757,0.562925,0.943199,0.801497,0.83643,0.025,0.14,1.0,0.0
36,0.020206,0.004283,0.00238,0.005357,-0.001121,0.003117,-0.000463,-0.009868,0.005482,-0.000469,-0.002451,-0.00243,0.007787,9,0.91755,0.998039,0.999531,0.545207,0.942756,0.813188,0.836455,0.025,0.144,1.0,0.0
37,0.011487,0.004367,0.002426,0.01313,0.001729,0.019007,-0.001438,-0.009817,0.005454,0.002956,-0.002174,-0.000469,0.013598,8,0.904498,0.996575,0.997044,0.554392,0.940595,0.796648,0.83657,0.025,0.148,1.0,0.0
38,0.003463,0.004464,0.00248,0.010081,0.0034,0.00578,0.010768,-0.009318,0.005177,0.00475,-0.001455,0.002956,0.007126,7,0.910767,0.998205,0.99525,0.553894,0.942824,0.804497,0.836451,0.025,0.152,1.0,0.0
39,0.005254,0.004352,0.002418,0.004963,0.003712,0.006623,0.011261,-0.008502,0.004723,0.004804,-0.000587,0.00475,0.000213,6,0.919014,0.999946,0.995196,0.548492,0.943683,0.813721,0.836402,0.025,0.156,1.0,0.0
40,0.015412,0.004322,0.002401,0.008825,0.004735,0.020648,-0.020558,-0.008208,0.00456,0.005817,0.000168,0.004804,0.004022,5,0.912567,0.998987,0.994183,0.555319,0.942181,0.804449,0.836486,0.025,0.16,1.0,0.0
41,0.210454,0.00581,0.003228,0.007793,0.005346,0.013849,0.001658,-0.007941,0.004412,0.006315,0.000959,0.005817,0.001976,4,0.90829,0.999502,0.993685,0.555082,0.94308,0.801021,0.836437,0.025,0.164,1.0,0.0
42,0.004046,0.007018,0.003899,0.00731,0.005739,0.005241,0.013637,-0.007259,0.004033,0.006565,0.001709,0.006315,0.000996,3,0.919473,0.999749,0.993435,0.548128,0.943173,0.814544,0.836431,0.025,0.168,1.0,0.0
43,0.011124,0.008228,0.004571,0.006025,0.005796,0.001407,0.002281,-0.006564,0.003646,0.006429,0.002389,0.006565,-0.00054,2,0.919231,0.999864,0.993571,0.543679,0.9431,0.815641,0.836435,0.025,0.172,1.0,0.0
44,0.233589,0.011074,0.006152,0.006565,0.00595,0.017004,-0.004259,-0.006019,0.003344,0.006463,0.002954,0.006429,0.000136,1,0.902626,0.999966,0.993537,0.546015,0.941982,0.796986,0.836497,0.025,0.176,1.0,0.0
45,-0.001337,0.013591,0.007551,0.003484,0.005457,0.002736,0.006975,-0.005183,0.00288,0.005713,0.003446,0.006463,-0.002979,11,0.919175,0.999249,0.994287,0.552639,0.943522,0.813962,0.836412,0.025,0.18,1.0,0.0
46,-0.001175,0.015899,0.008833,0.005331,0.005432,0.003447,0.006864,-0.004324,0.002402,0.005616,0.003763,0.005713,-0.000382,10,0.918893,0.999904,0.994384,0.548545,0.943525,0.814492,0.836411,0.025,0.184,1.0,0.0
47,0.218653,0.019669,0.010927,0.017305,0.007806,0.001388,-0.001456,-0.003635,0.002019,0.008562,0.004022,0.005616,0.011688,9,0.917052,0.997054,0.991438,0.552217,0.940877,0.812322,0.836555,0.025,0.188,1.0,0.0
48,0.017853,0.023061,0.012811,0.015976,0.00944,0.015133,-0.006772,-0.003222,0.00179,0.010431,0.004658,0.008562,0.007413,8,0.911759,0.998131,0.989569,0.555172,0.940464,0.805073,0.836577,0.025,0.192,1.0,0.0
49,0.245687,0.027832,0.015462,0.02576,0.012704,0.006007,-0.006685,-0.003003,0.001668,0.014295,0.005466,0.010431,0.015329,7,0.918322,0.996136,0.985705,0.554049,0.938395,0.812998,0.836678,0.025,0.196,1.0,0.0
50,0.020085,0.032149,0.017861,0.010964,0.012356,0.007403,-0.003915,-0.002893,0.001607,0.013455,0.006702,0.014295,-0.003332,6,0.917265,0.99916,0.986545,0.553101,0.940891,0.812094,0.836555,0.025,0.2,1.0,0.0
51,0.02167,0.036065,0.020036,0.010183,0.011921,0.001294,-0.00408,-0.002848,0.001582,0.01263,0.007648,0.013455,-0.003272,5,0.914822,0.999175,0.98737,0.553372,0.941525,0.810383,0.836521,0.025,0.204,1.0,0.0
52,0.019693,0.039507,0.021948,0.015591,0.012655,0.003405,0.005293,-0.002627,0.001459,0.013377,0.008345,0.01263,0.002961,4,0.91577,0.999253,0.986623,0.545817,0.94023,0.812642,0.836588,0.025,0.208,1.0,0.0
53,0.000646,0.042454,0.023586,0.006098,0.011344,0.004432,0.000735,-0.002385,0.001325,0.011541,0.00905,0.013377,-0.007278,3,0.913732,0.998164,0.988459,0.55287,0.940301,0.809246,0.836585,0.025,0.212,1.0,0.0
54,0.009727,0.045095,0.025053,0.01645,0.012365,0.001896,0.009899,-0.001937,0.001076,0.012779,0.009399,0.011541,0.004908,2,0.914698,0.998762,0.987221,0.548184,0.940167,0.811479,0.836592,0.025,0.216,1.0,0.0
55,0.006392,0.047427,0.026349,0.006012,0.011094,0.012638,0.01138,-0.001147,0.000637,0.011072,0.009872,0.012779,-0.006767,1,0.910891,0.998293,0.988928,0.549972,0.939303,0.80626,0.836634,0.025,0.22,1.0,0.0
56,-0.007512,0.049308,0.027393,-0.004971,0.007881,0.014264,0.004007,-0.000461,0.000256,0.007025,0.01004,0.011072,-0.016043,11,0.906589,0.995953,0.992975,0.543549,0.937104,0.803089,0.836736,0.025,0.224,1.0,0.0
57,0.030174,0.049611,0.027562,0.025685,0.011442,0.026118,-0.006541,-0.000109,6e-05,0.011732,0.009618,0.007025,0.01866,10,0.902832,0.995293,0.988268,0.544936,0.934628,0.797793,0.83684,0.025,0.228,1.0,0.0
58,0.014384,0.049955,0.027753,0.019033,0.01296,0.007663,0.009318,0.000369,0.000205,0.013574,0.009914,0.011732,0.0073,9,0.910867,0.998158,0.986426,0.550567,0.939118,0.806784,0.836643,0.025,0.232,1.0,0.0
59,0.025995,0.050369,0.027983,0.014818,0.013332,0.007298,-0.011566,0.000435,0.000242,0.013888,0.010426,0.013574,0.001244,8,0.916437,0.999686,0.986112,0.542342,0.939447,0.813964,0.836627,0.025,0.236,1.0,0.0
60,0.044743,0.049318,0.027399,0.031519,0.016969,0.01103,0.012808,0.000764,0.000424,0.018336,0.010911,0.013888,0.017631,7,0.908206,0.995552,0.981664,0.546929,0.935055,0.804404,0.836823,0.025,0.24,1.0,0.0
61,-0.006856,0.048351,0.026862,0.00486,0.014547,0.001157,-0.003169,0.000915,0.000508,0.014936,0.01195,0.018336,-0.013475,6,0.913727,0.996601,0.985064,0.556365,0.938755,0.809183,0.836661,0.025,0.244,1.0,0.0
62,0.003043,0.047532,0.026406,0.018228,0.015283,0.004156,0.011287,0.001248,0.000693,0.015767,0.012368,0.014936,0.003291,5,0.913103,0.99917,0.984233,0.552669,0.940181,0.80889,0.836591,0.025,0.248,1.0,0.0
63,0.026528,0.04537,0.025205,0.023915,0.01701,0.010965,0.008747,0.001648,0.000915,0.017822,0.012844,0.015767,0.008148,4,0.90995,0.997945,0.982178,0.552355,0.938063,0.804966,0.836693,0.025,0.252,1.0,0.0
64,0.01104,0.043416,0.02412,0.005385,0.014685,0.010618,-0.000276,0.001916,0.001064,0.014685,0.013541,0.017822,-0.012437,3,0.90748,0.996863,0.985315,0.545335,0.937001,0.803798,0.836741,0.025,0.256,1.0,0.0
65,0.00046,0.039858,0.022143,0.003442,0.012436,0.013788,0.009099,0.002273,0.001263,0.01185,0.013701,0.014685,-0.011243,2,0.909201,0.997165,0.98815,0.536513,0.936633,0.806728,0.836757,0.025,0.26,1.0,0.0
66,-0.013079,0.036478,0.020265,-0.012555,0.007438,0.028958,0.005027,0.00258,0.001434,0.005696,0.013442,0.01185,-0.024405,1,0.894909,0.993846,0.994304,0.537624,0.933831,0.790445,0.83687,0.025,0.264,1.0,0.0
67,0.018688,0.033481,0.0186,0.008727,0.007696,0.011505,-0.023822,0.002205,0.001225,0.00646,0.012358,0.005696,0.00303,11,0.91726,0.999236,0.99354,0.536232,0.940015,0.814918,0.836599,0.025,0.268,1.0,0.0
68,0.011065,0.030779,0.017099,0.014522,0.009061,0.01629,-0.003608,0.001809,0.001005,0.008493,0.011532,0.00646,0.008061,10,0.909507,0.997967,0.991507,0.539115,0.938478,0.806038,0.836674,0.025,0.272,1.0,0.0
69,-0.002801,0.028375,0.015764,-0.002851,0.006679,0.012974,0.000771,0.001494,0.00083,0.005633,0.011106,0.008493,-0.011344,9,0.907381,0.99714,0.994367,0.543187,0.939222,0.803453,0.836638,0.025,0.276,1.0,0.0
70,0.027852,0.026396,0.014665,0.015899,0.008523,0.002324,0.006665,0.001378,0.000766,0.008221,0.01034,0.005633,0.010266,8,0.915429,0.997412,0.991779,0.542361,0.939855,0.812781,0.836607,0.025,0.28,1.0,0.0
71,-0.006492,0.024558,0.013643,0.003333,0.007485,0.003173,0.001899,0.00131,0.000728,0.006989,0.010043,0.008221,-0.004888,7,0.916254,0.998768,0.993011,0.532279,0.940107,0.815381,0.836595,0.025,0.284,1.0,0.0
72,0.010054,0.023072,0.012818,0.016107,0.009209,0.006595,0.009311,0.00145,0.000806,0.009287,0.009616,0.006989,0.009118,6,0.911931,0.997701,0.990713,0.550752,0.940626,0.807123,0.836568,0.025,0.288,1.0,0.0
73,0.005879,0.021582,0.01199,0.003333,0.008034,0.001832,-0.00264,0.001467,0.000815,0.007786,0.00957,0.009287,-0.005954,5,0.915533,0.998499,0.992214,0.537466,0.940541,0.813731,0.836573,0.025,0.292,1.0,0.0
74,0.029358,0.020383,0.011324,0.019048,0.010237,0.018484,-0.001591,0.001416,0.000787,0.010625,0.00932,0.007786,0.011261,4,0.906477,0.997161,0.989375,0.538064,0.937364,0.802699,0.836725,0.025,0.296,1.0,0.0
75,0.002393,0.019151,0.01064,0.001329,0.008455,0.00575,-0.004551,0.00125,0.000694,0.008282,0.009503,0.010625,-0.009296,3,0.911389,0.997657,0.991718,0.533018,0.93889,0.809946,0.836654,0.025,0.3,1.0,0.0
76,-0.004823,0.017696,0.009831,-0.006334,0.005497,0.012671,-0.007562,0.000926,0.000514,0.004597,0.009332,0.008282,-0.014616,2,0.904368,0.996315,0.995403,0.540217,0.938768,0.800773,0.83666,0.025,0.304,1.0,0.0
77,0.001149,0.016474,0.009152,0.004446,0.005287,0.003383,0.000134,0.000674,0.000375,0.004559,0.008669,0.004597,-0.000152,1,0.917448,0.999962,0.995441,0.535916,0.942411,0.815672,0.836474,0.025,0.308,1.0,0.0
78,0.00355,0.015404,0.008558,0.008661,0.005962,0.013529,-0.008644,0.000272,0.000151,0.005593,0.008094,0.004559,0.004102,11,0.913149,0.998966,0.994407,0.52971,0.939698,0.811429,0.836615,0.025,0.312,1.0,0.0
79,0.000271,0.014265,0.007925,0.00479,0.005727,0.004324,-0.003146,-0.000108,6e-05,0.005391,0.007744,0.005593,-0.000804,10,0.91813,0.999797,0.994609,0.534237,0.941903,0.81654,0.836501,0.025,0.316,1.0,0.0
80,0.00073,0.013185,0.007325,0.007215,0.006025,0.00285,0.005814,-0.000252,0.00014,0.005851,0.007414,0.005391,0.001825,9,0.916231,0.99954,0.994149,0.536815,0.94205,0.814275,0.836493,0.025,0.32,1.0,0.0
81,-0.007169,0.012177,0.006765,-0.001554,0.004509,0.004501,-0.008487,-0.000535,0.000297,0.003984,0.007195,0.005851,-0.007405,8,0.918706,0.998134,0.996016,0.53337,0.940646,0.817179,0.836567,0.025,0.324,1.0,0.0
82,0.007296,0.011443,0.006357,0.000511,0.00371,0.003288,-0.003271,-0.000812,0.000451,0.003109,0.006746,0.003984,-0.003473,7,0.914919,0.999125,0.996891,0.534048,0.941922,0.813361,0.8365,0.025,0.328,1.0,0.0
83,0.023545,0.010834,0.006019,0.014595,0.005887,0.005651,0.006692,-0.000831,0.000462,0.006004,0.006237,0.003109,0.011486,6,0.913077,0.997105,0.993996,0.524733,0.938196,0.813011,0.836687,0.025,0.332,1.0,0.0
84,0.002425,0.010233,0.005685,-0.003098,0.00409,0.004254,-0.009007,-0.001044,0.00058,0.00371,0.006204,0.006004,-0.009102,5,0.911601,0.997706,0.99629,0.533758,0.940437,0.809946,0.836578,0.025,0.336,1.0,0.0
85,0.002425,0.009744,0.005413,0.006715,0.004615,0.004012,0.012644,-0.000886,0.000492,0.004467,0.005855,0.00371,0.003006,4,0.918607,0.999242,0.995533,0.5387,0.942291,0.816034,0.83648,0.025,0.34,1.0,0.0
86,-0.011533,0.009017,0.00501,-0.002521,0.003188,0.002095,-0.005281,-0.000884,0.000491,0.002706,0.005661,0.004467,-0.006988,3,0.918673,0.998239,0.997294,0.534242,0.941426,0.817137,0.836527,0.025,0.344,1.0,0.0
87,-0.00523,0.008388,0.00466,-0.009573,0.000636,0.003401,-0.017949,-0.001279,0.00071,-0.000389,0.005247,0.002706,-0.012279,2,0.909124,0.996905,0.999611,0.532186,0.940362,0.807796,0.836582,0.025,0.348,1.0,0.0
88,0.001808,0.007772,0.004318,-0.002527,3e-06,0.000222,-0.001323,-0.001566,0.00087,-0.000927,0.004458,-0.000389,-0.002138,1,0.918904,0.999461,0.999073,0.528916,0.94244,0.818515,0.836472,0.025,0.352,1.0,0.0
89,-0.002515,0.007167,0.003982,-0.001039,-0.000205,0.000978,-0.008036,-0.001931,0.001073,-0.000956,0.003704,-0.000927,-0.000112,11,0.91563,0.999972,0.999044,0.538006,0.943921,0.813393,0.836389,0.025,0.356,1.0,0.0
90,-0.00323,0.00639,0.00355,0.005932,0.001022,0.005699,0.002894,-0.002093,0.001163,0.00078,0.003052,-0.000956,0.006888,10,0.914082,0.998264,0.99922,0.536019,0.941787,0.811673,0.836507,0.025,0.36,1.0,0.0
91,-0.01568,0.005571,0.003095,-0.017649,-0.002712,0.02522,-0.00175,-0.002179,0.00121,-0.003864,0.002734,0.00078,-0.01843,9,0.897445,0.995356,0.996136,0.525683,0.935565,0.794825,0.836802,0.025,0.364,1.0,0.0
92,-0.003607,0.004859,0.002699,-0.000966,-0.002363,0.00132,0.006196,-0.002049,0.001139,-0.003134,0.00181,-0.003864,0.002898,8,0.916156,0.99927,0.996866,0.529648,0.941878,0.815399,0.836503,0.025,0.368,1.0,0.0
93,0.005775,0.004267,0.002371,0.010204,0.00015,0.004529,0.014162,-0.001592,0.000884,0.000227,0.001118,-0.003134,0.013338,7,0.91003,0.996639,0.999773,0.534804,0.940502,0.807949,0.836575,0.025,0.372,1.0,0.0
94,0.007331,0.003775,0.002097,0.001438,0.000408,0.016315,0.021988,-0.000736,0.000409,0.000532,0.000993,0.000227,0.00121,6,0.914434,0.999695,0.999468,0.520669,0.940466,0.813776,0.836576,0.025,0.376,1.0,0.0
95,0.011057,0.003423,0.001902,0.006907,0.001708,0.000245,0.008068,7.8e-05,4.3e-05,0.002139,0.000929,0.000532,0.006374,5,0.916754,0.998394,0.997861,0.525284,0.941002,0.817014,0.836549,0.025,0.38,1.0,0.0
96,0.006949,0.003159,0.001755,0.000198,0.001406,0.010279,0.013584,0.000962,0.000534,0.00165,0.001098,0.002139,-0.001941,4,0.916506,0.999511,0.99835,0.5313,0.941899,0.814463,0.836501,0.025,0.384,1.0,0.0
97,-0.01528,0.002867,0.001593,-0.007994,-0.000474,0.008813,-0.005622,0.001454,0.000808,-0.00078,0.001175,0.00165,-0.009644,3,0.910034,0.99757,0.99922,0.523254,0.939502,0.809645,0.836625,0.025,0.388,1.0,0.0
98,-0.010843,0.002473,0.001374,-0.003732,-0.001126,0.008878,0.006971,0.001937,0.001076,-0.001524,0.000902,-0.00078,-0.002951,2,0.91523,0.999256,0.998476,0.523886,0.94092,0.814676,0.836553,0.025,0.392,1.0,0.0
99,0.019502,0.002097,0.001165,0.009536,0.001007,0.012786,-0.004616,0.002145,0.001192,0.001263,0.000562,-0.001524,0.01106,1,0.910839,0.997213,0.998737,0.524786,0.938908,0.809663,0.836653,0.025,0.396,1.0,0.0
100,-0.00395,0.001717,0.000954,0.002592,0.001324,0.002932,0.021484,0.002743,0.001524,0.001598,0.00066,0.001263,0.001329,11,0.91451,0.999665,0.998402,0.522239,0.941603,0.814858,0.836517,0.025,0.4,1.0,0.0
101,0.006234,0.001412,0.000785,0.000202,0.001099,0.002672,-0.002047,0.003068,0.001705,0.001246,0.000791,0.001598,-0.001396,10,0.916712,0.999648,0.998754,0.529839,0.942595,0.815617,0.836464,0.025,0.404,1.0,0.0
102,0.000233,0.001232,0.000684,0.002589,0.001397,0.015301,-0.014031,0.002928,0.001627,0.001584,0.000855,0.001246,0.001343,9,0.912404,0.999662,0.998416,0.517811,0.939968,0.812208,0.836602,0.025,0.408,1.0,0.0
103,-0.003639,0.001085,0.000603,0.000895,0.001297,0.009366,0.016018,0.00313,0.001739,0.001411,0.000957,0.001584,-0.00069,8,0.918255,0.999826,0.998589,0.517841,0.940687,0.818691,0.836565,0.025,0.412,1.0,0.0
104,-0.004462,0.000909,0.000505,-0.002021,0.000633,0.004584,-0.01534,0.002855,0.001586,0.000546,0.001021,0.001411,-0.003432,7,0.917763,0.999135,0.999454,0.521614,0.94115,0.818019,0.836541,0.025,0.416,1.0,0.0
105,-0.012323,0.00068,0.000378,-0.010888,-0.001671,0.003379,-0.013649,0.002294,0.001274,-0.002335,0.000954,0.000546,-0.011434,6,0.911608,0.997119,0.997665,0.520148,0.938932,0.8123,0.836652,0.025,0.42,1.0,0.0
106,-0.008895,0.000437,0.000243,-0.001678,-0.001672,0.001667,0.005112,0.001959,0.001088,-0.002169,0.000494,-0.002335,0.000657,5,0.916308,0.999834,0.997831,0.519006,0.941436,0.817416,0.836526,0.025,0.424,1.0,0.0
107,0.015501,0.000456,0.000253,0.009156,0.000493,0.005035,0.016274,0.002037,0.001131,0.000684,0.000121,-0.002169,0.011325,4,0.909099,0.997147,0.999316,0.523826,0.939613,0.808918,0.836619,0.025,0.428,1.0,0.0
108,-0.028627,0.000286,0.000159,-0.014834,-0.002572,0.018535,0.00426,0.002155,0.001197,-0.003226,0.0002,0.000684,-0.015518,3,0.905834,0.99609,0.996774,0.519047,0.936347,0.805065,0.836769,0.025,0.432,1.0,0.0
109,-0.007553,3.6e-05,2e-05,-0.004163,-0.00289,0.012325,0.012049,0.002453,0.001363,-0.003462,-0.00028,-0.003226,-0.000937,2,0.914466,0.999764,0.996538,0.513774,0.939509,0.815358,0.836624,0.025,0.436,1.0,0.0
110,-0.005911,-0.000284,0.000158,-0.012663,-0.004845,0.01786,0.001473,0.002654,0.001474,-0.00578,-0.000725,-0.003462,-0.009201,1,0.905533,0.997682,0.99422,0.51101,0.936312,0.806336,0.836771,0.025,0.44,1.0,0.0
111,-0.01405,-0.000753,0.000418,0.004412,-0.002993,0.000774,0.020627,0.003228,0.001793,-0.003212,-0.001433,-0.00578,0.010192,11,0.910575,0.997432,0.996788,0.514478,0.938543,0.81258,0.836671,0.025,0.444,1.0,0.0
