cycle,truth_sample,truth_state,truth_load,bridge_output,bridge_state,bridge_load,shadow_pressure,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
17,0.016854,0.002488,0.001382,0.069065,0.018553,0.147828,0.157281,0.007135,0.003964,0.022011,0.002957,0.006578,0.062487,6,0.901399,0.984567,0.977989,0.553875,0.914163,0.779574,0.837224,0.037,0.051,1.102,0.0425
18,0.022134,0.002775,0.001542,0.007412,0.016325,0.006441,-0.01796,0.009302,0.005168,0.01841,0.005624,0.022011,-0.014599,5,0.914454,0.996399,0.98159,0.558959,0.938898,0.807104,0.836654,0.038,0.054,1.108,0.045
19,0.030215,0.003231,0.001795,0.009858,0.015031,0.000992,-0.007008,0.010459,0.00581,0.016303,0.007414,0.01841,-0.008552,4,0.915519,0.997893,0.983697,0.541556,0.939038,0.812023,0.836647,0.039,0.057,1.114,0.0475
20,0.002805,0.003689,0.002049,-0.003961,0.011233,0.016611,0.003124,0.011112,0.006173,0.011317,0.008659,0.016303,-0.020264,3,0.905146,0.995014,0.988683,0.555897,0.937736,0.797184,0.836708,0.04,0.06,1.12,0.05
21,-0.014857,0.004047,0.002248,-0.010407,0.006905,0.023796,0.012637,0.011614,0.006452,0.005979,0.009031,0.011317,-0.021725,2,0.903545,0.994661,0.994021,0.575819,0.940244,0.790989,0.836588,0.041,0.063,1.126,0.0525
22,-0.013594,0.004332,0.002407,-0.022146,0.001095,0.055805,0.019552,0.012156,0.006753,-0.000925,0.008604,0.005979,-0.028125,1,0.880659,0.993097,0.999075,0.573479,0.936682,0.765005,0.836755,0.042,0.066,1.132,0.055
23,0.073197,0.00524,0.002911,0.040638,0.009003,0.052777,-0.014794,0.011929,0.006627,0.009265,0.00727,-0.000925,0.041563,11,0.880841,0.98981,0.990735,0.566457,0.931332,0.766891,0.836958,0.043,0.069,1.138,0.0575
24,0.020328,0.006194,0.003441,0.014761,0.010155,0.010779,-0.002049,0.01145,0.006361,0.010611,0.007549,0.009265,0.005495,10,0.913055,0.998654,0.989389,0.567718,0.943036,0.803539,0.836439,0.044,0.072,1.144,0.06
25,0.013947,0.007,0.003889,0.017151,0.011554,0.026118,-0.011789,0.010566,0.00587,0.012211,0.007978,0.010611,0.00654,9,0.904012,0.9984,0.987789,0.571327,0.941526,0.792195,0.836521,0.045,0.075,1.15,0.0625
26,0.018992,0.007915,0.004397,0.07579,0.024401,0.180233,0.203649,0.014305,0.007947,0.027742,0.008571,0.012211,0.063579,8,0.908792,0.984469,0.972258,0.53851,0.90753,0.786075,0.837169,0.046,0.078,1.156,0.065
27,-0.043388,0.008276,0.004598,0.001828,0.019887,0.004327,0.017347,0.017079,0.009489,0.021421,0.011255,0.027742,-0.025915,7,0.915969,0.993678,0.978579,0.544029,0.933652,0.811409,0.836877,0.047,0.081,1.162,0.0675
28,0.285551,0.010459,0.005811,0.027642,0.021438,0.005899,-0.012835,0.018429,0.010238,0.022936,0.012678,0.021421,0.006221,6,0.916123,0.998484,0.977064,0.518585,0.93441,0.816209,0.836848,0.048,0.084,1.168,0.07
29,0.029861,0.012517,0.006954,-0.036871,0.009776,0.19155,-0.189691,0.014699,0.008166,0.008377,0.014114,0.022936,-0.059807,5,0.916925,0.985441,0.991623,0.540476,0.911494,0.792695,0.837213,0.049,0.087,1.174,0.0725
30,-0.005101,0.014165,0.00787,-0.015846,0.004652,0.021883,-0.005003,0.011564,0.006425,0.002486,0.013311,0.008377,-0.024223,4,0.897438,0.994108,0.997514,0.559422,0.938286,0.788492,0.836683,0.05,0.09,1.18,0.075
31,-0.019425,0.015417,0.008565,-0.026114,-0.001501,0.03221,-0.005603,0.008926,0.004959,-0.004464,0.011795,0.002486,-0.028599,3,0.888986,0.993051,0.995536,0.565239,0.936723,0.77798,0.836753,0.051,0.093,1.186,0.0775
32,0.012192,0.016789,0.009327,-8.5e-05,-0.001218,0.010594,0.020525,0.007296,0.004054,-0.003401,0.009519,-0.004464,0.004379,2,0.918404,0.998937,0.996599,0.561656,0.943883,0.810584,0.836391,0.052,0.096,1.192,0.08
33,-0.002886,0.01785,0.009916,0.04707,0.008439,0.184159,0.170011,0.009812,0.005451,0.008834,0.00771,-0.003401,0.050471,1,0.913799,0.987766,0.991166,0.573855,0.918171,0.78446,0.837215,0.053,0.099,1.198,0.0825
34,0.015998,0.018736,0.010409,0.019428,0.010637,0.053625,-0.022603,0.010888,0.006049,0.011399,0.007868,0.008834,0.010594,11,0.887202,0.997435,0.988601,0.574854,0.938321,0.771997,0.836681,0.054,0.102,1.204,0.085
35,0.02796,0.0195,0.010833,0.039695,0.016449,0.055107,-0.001195,0.011404,0.006335,0.018241,0.008362,0.011399,0.028296,10,0.875836,0.993158,0.981759,0.592382,0.934863,0.75713,0.83683,0.055,0.105,1.21,0.0875
36,0.059591,0.020598,0.011443,0.036338,0.020426,0.032713,-0.00983,0.011311,0.006284,0.022612,0.009745,0.018241,0.018097,9,0.898398,0.995629,0.977388,0.541752,0.932125,0.79181,0.836932,0.056,0.108,1.216,0.09
37,0.010506,0.021754,0.012085,0.047242,0.025789,0.043941,0.024147,0.011565,0.006425,0.028554,0.011546,0.022612,0.02463,8,0.87427,0.994058,0.971446,0.544433,0.928684,0.765956,0.837038,0.057,0.111,1.222,0.0925
38,-0.026135,0.022677,0.012598,0.078371,0.036306,0.157365,0.200122,0.01604,0.008911,0.040553,0.013927,0.028554,0.049818,7,0.893968,0.988,0.959447,0.528614,0.908246,0.77596,0.837179,0.058,0.114,1.228,0.095
39,0.021169,0.0231,0.012833,0.021627,0.03337,0.01563,0.028308,0.019553,0.010863,0.036001,0.017655,0.040553,-0.018927,6,0.911814,0.995448,0.963999,0.51247,0.926749,0.812281,0.837087,0.059,0.117,1.234,0.0975
40,0.089765,0.023992,0.013329,-0.012785,0.024139,0.215168,-0.215297,0.016762,0.009312,0.024278,0.020223,0.036001,-0.048786,5,0.910959,0.988277,0.975722,0.532109,0.907044,0.785925,0.837162,0.06,0.12,1.24,0.1
41,-0.036796,0.024397,0.013554,-0.028277,0.013656,0.044131,-0.007029,0.014061,0.007812,0.011662,0.020791,0.024278,-0.052555,4,0.877615,0.987384,0.988338,0.547851,0.926232,0.768566,0.837099,0.061,0.123,1.246,0.1025
42,-0.008779,0.024545,0.013636,0.002527,0.01143,0.050884,0.059359,0.013171,0.007317,0.009471,0.019513,0.011662,-0.009135,3,0.901607,0.99781,0.990529,0.550987,0.936148,0.791272,0.836778,0.062,0.126,1.252,0.105
43,0.004419,0.025034,0.013908,-0.010401,0.007064,0.043755,0.031582,0.012968,0.007205,0.004712,0.018107,0.009471,-0.019872,2,0.894115,0.995241,0.995288,0.553869,0.935739,0.784042,0.836795,0.063,0.129,1.258,0.1075
44,-0.085286,0.022683,0.012601,-0.066994,-0.007748,0.091931,-0.001655,0.0125,0.006945,-0.012441,0.016232,0.004712,-0.071705,1,0.840014,0.982847,0.987559,0.568949,0.920175,0.721737,0.837198,0.064,0.132,1.264,0.11
45,0.019857,0.020539,0.01141,0.028029,-0.000592,0.042385,0.01061,0.01212,0.006733,-0.002772,0.012218,-0.012441,0.040471,11,0.878094,0.990331,0.997228,0.587822,0.935962,0.761642,0.836786,0.065,0.135,1.27,0.1125
46,0.036958,0.018967,0.010537,0.033262,0.006179,0.0415,-0.009696,0.011344,0.006302,0.005827,0.010119,-0.002772,0.036034,10,0.889003,0.991401,0.994173,0.571963,0.934571,0.775662,0.836842,0.066,0.138,1.276,0.115
47,-0.021422,0.017569,0.009761,0.00307,0.005557,0.044553,-0.042977,0.00958,0.005322,0.00517,0.009518,0.005827,-0.002757,9,0.903029,0.999343,0.99483,0.564971,0.941101,0.79074,0.836544,0.067,0.141,1.282,0.1175
48,0.072422,0.016791,0.009328,0.047771,0.014,0.049415,0.002109,0.008151,0.004528,0.015314,0.008909,0.00517,0.042601,8,0.878062,0.989856,0.984686,0.551882,0.928204,0.767782,0.837051,0.068,0.144,1.288,0.12
49,-0.041157,0.015819,0.008788,0.00395,0.01199,0.018166,-0.006317,0.006812,0.003785,0.012611,0.009806,0.015314,-0.011364,7,0.908487,0.997297,0.987389,0.530197,0.936001,0.805812,0.836784,0.069,0.147,1.294,0.1225
50,0.040486,0.015148,0.008415,0.015272,0.012646,0.020728,-0.012396,0.005204,0.002891,0.013243,0.010199,0.012611,0.002661,6,0.910461,0.999368,0.986757,0.520104,0.936443,0.809493,0.836765,0.07,0.15,1.3,0.125
51,-0.190676,0.012917,0.007176,-0.011925,0.007732,0.003674,-0.035918,0.003099,0.001722,0.00727,0.010625,0.013243,-0.025168,5,0.900242,0.994027,0.99273,0.52849,0.935409,0.799612,0.836808,0.071,0.153,1.306,0.1275
52,0.036764,0.010783,0.00599,0.008283,0.007842,0.003454,-0.01758,0.001129,0.000627,0.00751,0.010155,0.00727,0.001013,4,0.914628,0.99976,0.99249,0.526372,0.940631,0.814474,0.836568,0.072,0.156,1.312,0.13
53,-0.041113,0.008517,0.004732,-0.027975,0.000679,0.057622,0.020521,0.000347,0.000193,-0.000892,0.009785,0.00751,-0.035485,3,0.87975,0.991598,0.999108,0.570121,0.934868,0.765306,0.83683,0.073,0.159,1.318,0.1325
54,-0.040157,0.006419,0.003566,0.035279,0.007599,0.21989,0.201453,0.004345,0.002414,0.007659,0.00829,-0.000892,0.03617,2,0.898433,0.991449,0.992341,0.577641,0.919514,0.76443,0.837205,0.074,0.162,1.324,0.135
55,-0.043543,0.004086,0.00227,-0.082803,-0.010482,0.05994,-0.086929,0.005172,0.002873,-0.013698,0.008202,0.007659,-0.090462,11,0.858947,0.978643,0.986302,0.591711,0.922363,0.739755,0.837171,0.075,0.165,1.33,0.1375
56,0.123003,0.002283,0.001269,-0.003449,-0.009075,0.018238,-0.002671,0.005575,0.003097,-0.011281,0.005136,-0.013698,0.010249,11,0.904935,0.997584,0.988719,0.57624,0.942574,0.793197,0.836465,0.076,0.168,1.336,0.14
57,0.074994,0.001535,0.000853,0.020798,-0.003101,0.291785,-0.192325,0.00121,0.000672,-0.003724,0.002838,-0.011281,0.032079,4,0.83097,0.992443,0.996276,0.566965,0.913795,0.691126,0.837224,0.077,0.171,1.342,0.1425
58,0.045047,0.00128,0.000711,0.043679,0.006255,0.087709,-0.029762,-0.002617,0.001454,0.007427,0.001919,-0.003724,0.047403,9,0.858809,0.988848,0.992573,0.57164,0.928513,0.74044,0.837042,0.078,0.174,1.348,0.145
59,0.018112,0.001159,0.000644,0.021431,0.00929,0.036085,-0.022371,-0.005827,0.003237,0.010717,0.00269,0.007427,0.014004,8,0.900812,0.99671,0.989283,0.517301,0.933215,0.798264,0.836893,0.079,0.177,1.354,0.1475
60,0.061805,0.002155,0.001197,0.11927,0.031286,0.162798,0.269043,-0.001913,0.001063,0.036194,0.003814,0.010717,0.108553,7,0.866438,0.974523,0.963806,0.507606,0.894518,0.752039,0.836805,0.08,0.18,1.36,0.15
61,0.252635,0.004778,0.002654,0.011697,0.027369,0.003747,-0.019279,0.000491,0.000273,0.030451,0.008347,0.036194,-0.024497,6,0.904492,0.994257,0.969549,0.533264,0.931661,0.802865,0.836947,0.081,0.183,1.366,0.1525
62,0.059688,0.007256,0.004031,0.03615,0.029125,0.013632,0.006601,0.002154,0.001196,0.031785,0.011442,0.030451,0.005699,5,0.91041,0.998666,0.968215,0.52963,0.934057,0.808363,0.836862,0.082,0.186,1.372,0.155
63,0.065849,0.010092,0.005606,0.039259,0.031152,0.007199,0.021077,0.003754,0.002086,0.033533,0.01429,0.031785,0.007473,4,0.90435,0.998252,0.966467,0.553911,0.93663,0.798386,0.836757,0.083,0.189,1.378,0.1575
64,-0.054033,0.011638,0.006466,-0.042183,0.016485,0.077274,-0.000163,0.005052,0.002807,0.01585,0.016984,0.033533,-0.075715,3,0.849936,0.982318,0.98415,0.559262,0.919513,0.735219,0.837205,0.084,0.192,1.384,0.16
65,-0.105951,0.012514,0.006952,-0.059944,0.001199,0.11838,0.059692,0.007238,0.004021,-0.001826,0.016825,0.01585,-0.075795,2,0.844521,0.982324,0.998174,0.554924,0.918111,0.726009,0.837215,0.085,0.195,1.39,0.1625
66,0.129493,0.013951,0.007751,-0.048893,-0.008819,0.085486,0.022114,0.009098,0.005055,-0.012788,0.014214,-0.001826,-0.047067,11,0.857699,0.989038,0.987212,0.567662,0.926517,0.740322,0.837092,0.086,0.198,1.396,0.165
67,-0.105082,0.015858,0.00881,0.030044,-0.001047,0.113737,-0.099496,0.007957,0.00442,-0.002823,0.010434,-0.012788,0.042831,11,0.866288,0.990036,0.997177,0.566704,0.926867,0.746102,0.837084,0.087,0.201,1.402,0.1675
68,0.088243,0.017923,0.009957,0.064161,0.011995,0.132139,-0.05546,0.005706,0.00317,0.012744,0.008578,-0.002823,0.066984,10,0.833665,0.984432,0.987256,0.566284,0.917771,0.711717,0.837217,0.088,0.204,1.408,0.17
69,-0.024148,0.019867,0.011037,-0.011405,0.007315,0.028626,-0.065721,0.002459,0.001366,0.007137,0.009161,0.012744,-0.024149,9,0.912198,0.994393,0.992863,0.562352,0.937294,0.802618,0.836728,0.089,0.207,1.414,0.1725
70,0.030297,0.022106,0.012281,0.043553,0.014562,0.03847,0.017067,0.00046,0.000256,0.015583,0.008878,0.007137,0.036416,8,0.882302,0.991554,0.984417,0.524803,0.927427,0.778946,0.837071,0.09,0.21,1.42,0.175
71,0.217168,0.026032,0.014462,0.019632,0.015576,0.011548,0.032371,-0.000214,0.000119,0.016521,0.009816,0.015583,0.004049,7,0.918249,0.999062,0.983479,0.466473,0.929657,0.82906,0.83701,0.091,0.213,1.426,0.1775
72,0.022799,0.028735,0.015964,0.042577,0.020976,0.024268,0.029186,-3.7e-05,2e-05,0.022551,0.010755,0.016521,0.026056,6,0.889615,0.99397,0.977449,0.52276,0.929068,0.788417,0.837027,0.092,0.216,1.432,0.18
73,0.036661,0.030826,0.017125,0.000155,0.016812,0.006814,-0.045922,-0.000942,0.000523,0.017375,0.012407,0.022551,-0.022396,5,0.892279,0.994824,0.982625,0.484834,0.927873,0.800215,0.837059,0.093,0.219,1.438,0.1825
74,0.031265,0.032563,0.01809,0.033299,0.020109,0.052633,-0.0379,-0.00242,0.001344,0.02105,0.013102,0.017375,0.015924,4,0.89327,0.996325,0.97895,0.518872,0.92837,0.789665,0.837046,0.094,0.222,1.444,0.185
75,-0.089829,0.033282,0.01849,-0.0431,0.007468,0.104349,0.052765,-0.002201,0.001223,0.006262,0.014215,0.02105,-0.06415,3,0.851194,0.985211,0.993738,0.538948,0.918608,0.738117,0.837212,0.095,0.225,1.45,0.1875
76,-0.068664,0.032936,0.018298,-0.063013,-0.006629,0.102212,0.011574,-0.001715,0.000953,-0.009689,0.013101,0.006262,-0.069274,8,0.836606,0.98405,0.990311,0.582188,0.922178,0.715566,0.837173,0.096,0.228,1.456,0.19
77,-0.064986,0.030249,0.016805,0.003403,-0.004622,0.035316,0.011732,-0.001083,0.000602,-0.006678,0.009911,-0.009689,0.013092,2,0.884621,0.996989,0.993322,0.586043,0.941766,0.770168,0.836509,0.097,0.231,1.462,0.1925
78,0.043166,0.027761,0.015423,0.023821,0.001066,0.059991,-0.04912,-0.001929,0.001072,0.000326,0.007588,-0.006678,0.030499,1,0.891766,0.992996,0.999674,0.560585,0.934055,0.77932,0.836862,0.098,0.234,1.468,0.195
79,0.082436,0.025696,0.014276,0.054448,0.011743,0.104022,-0.058924,-0.003741,0.002078,0.012737,0.006572,0.000326,0.054122,10,0.859442,0.987589,0.987263,0.572287,0.923707,0.739771,0.837149,0.099,0.237,1.474,0.1975
80,0.074265,0.024841,0.013801,0.053619,0.020118,0.091136,-0.042441,-0.005926,0.003292,0.022098,0.007435,0.012737,0.040882,9,0.864258,0.990639,0.977902,0.559939,0.924275,0.748206,0.837139,0.1,0.24,1.48,0.2
81,0.180876,0.02624,0.014578,0.011452,0.018385,0.026336,-0.01066,-0.007413,0.004119,0.019663,0.009488,0.022098,-0.010646,2,0.907639,0.997566,0.980337,0.501759,0.930168,0.809725,0.836995,0.101,0.243,1.486,0.2025
82,0.000354,0.026502,0.014723,0.000701,0.014848,0.013414,0.017902,-0.00789,0.004383,0.015333,0.010912,0.019663,-0.018963,7,0.912092,0.995669,0.984667,0.476726,0.927386,0.820336,0.837072,0.102,0.246,1.492,0.205
83,0.08986,0.028195,0.015664,0.056207,0.02312,0.023283,0.023964,-0.007497,0.004165,0.024656,0.011531,0.015333,0.040874,6,0.89222,0.990676,0.975344,0.431183,0.914226,0.808101,0.837224,0.103,0.249,1.498,0.2075
84,0.014371,0.029131,0.016184,-0.006574,0.017181,0.004546,-0.081739,-0.009186,0.005104,0.017542,0.013369,0.024656,-0.03123,11,0.881673,0.992886,0.982458,0.480325,0.925323,0.79021,0.837118,0.104,0.252,1.504,0.21
85,-0.022426,0.029967,0.016648,0.005205,0.014786,0.057459,0.055127,-0.008938,0.004966,0.014735,0.013953,0.017542,-0.012338,4,0.894706,0.997193,0.985265,0.538378,0.932239,0.78643,0.836928,0.105,0.255,1.51,0.2125
86,-0.038858,0.030185,0.016769,-0.037669,0.004295,0.069429,0.027053,-0.00796,0.004422,0.002827,0.014062,0.014735,-0.052404,3,0.871051,0.988091,0.997173,0.549956,0.926306,0.759318,0.837097,0.106,0.258,1.516,0.215
87,-0.126962,0.027795,0.015442,-0.004324,0.002571,0.081423,-0.021927,-0.007601,0.004223,0.001204,0.012489,0.002827,-0.007151,3,0.861526,0.998377,0.998796,0.580883,0.93929,0.742552,0.836635,0.107,0.261,1.522,0.2175
88,-0.050814,0.02514,0.013967,-0.034491,-0.004841,0.028936,0.008578,-0.006983,0.00388,-0.006887,0.010909,0.001204,-0.035695,11,0.897633,0.991909,0.993113,0.577861,0.936327,0.784966,0.83677,0.108,0.264,1.528,0.22
89,0.047964,0.022888,0.012716,0.047276,0.005582,0.086912,-0.044597,-0.00746,0.004145,0.005373,0.008418,-0.006887,0.054163,1,0.868524,0.98774,0.994627,0.624688,0.933067,0.740494,0.836899,0.109,0.267,1.534,0.2225
90,-0.086386,0.020024,0.011125,-0.023479,-0.00023,0.064654,-0.042214,-0.008623,0.00479,-0.001148,0.007992,0.005373,-0.028852,9,0.844473,0.993479,0.998852,0.60617,0.939332,0.722266,0.836633,0.11,0.27,1.54,0.225
91,0.012497,0.018272,0.010151,-0.031816,-0.006547,0.000362,-0.096024,-0.011346,0.006303,-0.008069,0.006712,-0.001148,-0.030667,8,0.878028,0.993079,0.991931,0.5357,0.93477,0.776082,0.836834,0.111,0.273,1.546,0.2275
92,-0.010795,0.017163,0.009535,0.005164,-0.004205,0.036016,0.003751,-0.012922,0.007179,-0.005087,0.004643,-0.008069,0.013233,2,0.889005,0.997018,0.994913,0.509354,0.932817,0.788025,0.836908,0.112,0.276,1.552,0.23
93,0.021284,0.016835,0.009353,0.050083,0.006653,0.019165,0.107041,-0.011286,0.00627,0.007332,0.003281,-0.005087,0.05517,1,0.861286,0.987581,0.992668,0.499593,0.923602,0.764096,0.837151,0.113,0.279,1.558,0.2325
94,0.028494,0.016436,0.009131,-6e-05,0.00531,0.074395,0.119353,-0.007176,0.003987,0.00567,0.003848,0.007332,-0.007391,6,0.893993,0.998338,0.99433,0.42201,0.920286,0.805686,0.837197,0.114,0.282,1.564,0.235
95,-0.148135,0.014356,0.007975,0.016718,0.007592,0.001129,-0.0075,-0.00426,0.002367,0.008152,0.004103,0.00567,0.011049,5,0.91854,0.997518,0.991848,0.457186,0.929968,0.831713,0.837001,0.115,0.285,1.57,0.2375
96,-0.050917,0.011586,0.006437,-0.035221,-0.000971,0.048785,-0.012618,-0.00238,0.001322,-0.00158,0.00467,0.008152,-0.043373,4,0.871494,0.990269,0.99842,0.520912,0.927819,0.767344,0.837061,0.116,0.288,1.576,0.24
97,-0.063512,0.007316,0.004064,-0.056871,-0.012151,0.104225,0.034893,-0.000133,7.4e-05,-0.01397,0.003795,-0.00158,-0.055291,9,0.846272,0.987609,0.98603,0.525261,0.918388,0.735204,0.837214,0.117,0.291,1.582,0.2425
98,-0.162224,0.002339,0.001299,0.033912,-0.002938,0.154986,0.204371,0.006161,0.003423,-0.00326,0.001308,-0.01397,0.047883,3,0.885273,0.98929,0.99674,0.565501,0.922459,0.760502,0.837169,0.118,0.294,1.588,0.245
99,-0.004331,-0.002748,0.001526,-0.026142,-0.007579,0.048039,0.004208,0.01061,0.005894,-0.00837,0.000668,-0.00326,-0.022882,1,0.878036,0.99489,0.99163,0.589924,0.939211,0.760152,0.836639,0.119,0.297,1.594,0.2475
100,-0.043422,-0.007657,0.004254,-0.031342,-0.012331,0.072482,0.085558,0.015516,0.00862,-0.013492,-0.000597,-0.00837,-0.022972,10,0.890688,0.994878,0.986508,0.56994,0.933158,0.773776,0.836895,0.12,0.3,1.6,0.25
101,0.142747,-0.010738,0.005966,0.004536,-0.008958,0.006523,-0.05753,0.017406,0.00967,-0.009478,-0.002402,-0.013492,0.018027,9,0.897736,0.995986,0.990522,0.605781,0.945135,0.781252,0.836317,0.121,0.303,1.606,0.2525
102,0.002494,-0.01314,0.0073,-0.016474,-0.010461,0.061204,-0.134505,0.015399,0.008555,-0.011034,-0.003393,-0.009478,-0.006996,3,0.918808,0.998444,0.988966,0.514254,0.931302,0.813877,0.836959,0.122,0.306,1.612,0.255
103,0.013617,-0.014199,0.007888,0.075787,0.006788,0.187784,0.253253,0.019417,0.010787,0.008246,-0.004463,-0.011034,0.086821,8,0.891111,0.98072,0.991754,0.482503,0.899112,0.778094,0.836973,0.123,0.309,1.618,0.2575
104,-0.051289,-0.015134,0.008408,-0.009536,0.003523,0.022738,-0.039921,0.021037,0.011687,0.004303,-0.002683,0.008246,-0.017783,7,0.914696,0.996057,0.995697,0.458431,0.926843,0.824345,0.837085,0.124,0.312,1.624,0.26
105,-0.064189,-0.016799,0.009333,-0.054382,-0.008058,0.016897,-0.076003,0.020042,0.011134,-0.008696,-0.001705,0.004303,-0.058685,6,0.8778,0.987001,0.991304,0.435954,0.914831,0.792463,0.837225,0.125,0.315,1.63,0.2625
106,-0.015336,-0.017731,0.00985,-0.012666,-0.008979,0.0084,-0.024409,0.018318,0.010177,-0.009574,-0.002684,-0.008696,-0.003971,5,0.919301,0.999122,0.990426,0.452063,0.929284,0.83196,0.837021,0.126,0.318,1.636,0.265
107,-0.02632,-0.018842,0.010468,0.002439,-0.006696,0.006484,0.053298,0.017861,0.009923,-0.00692,-0.003649,-0.009574,0.012013,4,0.901115,0.997346,0.99308,0.523029,0.93676,0.800558,0.836751,0.127,0.321,1.642,0.2675
108,-0.201545,-0.02125,0.011806,-0.061877,-0.017732,0.092188,0.113423,0.019801,0.011001,-0.019046,-0.004107,-0.00692,-0.054957,4,0.893552,0.987873,0.980954,0.542248,0.919313,0.779874,0.837206,0.128,0.324,1.648,0.27
109,-0.118929,-0.024421,0.013567,0.062015,-0.001782,0.145521,0.255648,0.026507,0.014726,-0.001191,-0.006198,-0.019046,0.081062,3,0.853453,0.982144,0.998809,0.545812,0.912652,0.732947,0.837219,0.129,0.327,1.654,0.2725
110,0.169145,-0.026157,0.014531,0.007311,3.6e-05,0.009146,0.026664,0.031349,0.017416,0.000679,-0.005497,-0.001191,0.008502,2,0.901427,0.99813,0.999321,0.549091,0.940944,0.795079,0.836552,0.13,0.33,1.66,0.275
