cycle,stability,adaptive_score,rigidity,dissent,identity_drift,light_king_power,shadow_queen_power,light_pool,shadow_pool,light_order,shadow_correction,bridge_tension,faction_balance,emergence,jester_pulse,judge_closure
25,1,0.83,0.269179,0.245873,0.006315,0.51,0.51,0.4887,0.509387,0.51208,0.518569,0.007993,0.981832,0.975415,0.0,0
26,1,0.83,0.265924,0.245011,0.006013,0.51,0.51,0.488742,0.509306,0.512039,0.508844,0.007321,0.991053,0.976597,0.0,0
27,1,0.83,0.262718,0.245928,0.003036,0.51,0.51,0.488879,0.509434,0.501559,0.51072,0.007579,0.974349,0.976691,0.0,0
28,1,0.83,0.259549,0.244551,0.003446,0.51,0.51,0.488985,0.509743,0.502934,0.520137,0.008926,0.951831,0.975594,0.0,0
29,1,0.83,0.256577,0.244105,0.00234,0.51,0.51,0.489032,0.509836,0.509368,0.518075,0.008895,0.975621,0.976133,0.0,0
30,1,0.83,0.253626,0.244936,0.002725,0.51,0.51,0.488973,0.509713,0.495781,0.513075,0.010071,0.951578,0.9753,0.0,0
31,1,0.83,0.250839,0.245424,0.002461,0.51,0.51,0.489049,0.509515,0.497166,0.50876,0.010284,0.967536,0.975389,0.0,0
32,1,0.83,0.248234,0.244843,0.002816,0.51,0.51,0.488898,0.509532,0.50683,0.50893,0.009139,0.994119,0.97694,0.0,0
33,1,0.83,0.24568,0.24596,0.000197,0.51,0.51,0.488941,0.509596,0.506191,0.51101,0.008534,0.986508,0.977847,0.0,0
34,1,0.83,0.243101,0.245337,0.000574,0.51,0.51,0.489333,0.509677,0.514308,0.49779,0.009652,0.953749,0.976834,0.0,0
35,1,0.83,0.240714,0.245585,-0.000888,0.51,0.51,0.488661,0.509467,0.513691,0.519788,0.009154,0.982928,0.977779,0.0,0
36,1,0.83,0.238401,0.246062,0.000617,0.51,0.51,0.488797,0.509028,0.510909,0.517421,0.008784,0.981769,0.97821,0.0,0
37,1,0.83,0.236211,0.247133,-0.000177,0.51,0.51,0.489277,0.509078,0.512595,0.511112,0.007762,0.995848,0.979282,0.0,0
38,1,0.83,0.23409,0.249095,-0.000345,0.51,0.51,0.488976,0.509227,0.50576,0.504936,0.006791,0.997692,0.980564,0.18,0
39,1,0.83,0.231984,0.249428,-0.003697,0.51,0.51,0.489017,0.509335,0.506815,0.512792,0.006677,0.983264,0.980832,0.18,0
40,1,0.83,0.229966,0.250653,-4.6e-05,0.51,0.51,0.489016,0.509547,0.507724,0.503715,0.006303,0.988774,0.981448,0.18,0
41,1,0.83,0.227993,0.253093,0.001654,0.51,0.51,0.489372,0.509364,0.503547,0.497459,0.006273,0.982953,0.981755,0.18,0
42,1,0.83,0.225996,0.252917,0.00306,0.51,0.51,0.489131,0.509482,0.498876,0.514786,0.007622,0.955452,0.980528,0.0,0
43,1,0.83,0.224034,0.252785,0.002978,0.51,0.51,0.488929,0.50982,0.503357,0.524793,0.009556,0.939981,0.978491,0.0,0
44,1,0.83,0.222274,0.252431,0.000635,0.51,0.51,0.488949,0.509726,0.50343,0.512265,0.009455,0.975261,0.978728,0.0,0
45,1,0.83,0.220398,0.252082,0.002516,0.51,0.51,0.488758,0.509444,0.49882,0.527176,0.012101,0.920601,0.975788,0.0,0
46,1,0.83,0.218861,0.250159,0.001584,0.51,0.51,0.489132,0.509027,0.512323,0.513889,0.010626,0.995615,0.97724,0.0,0
47,1,0.83,0.217361,0.249375,0.001318,0.51,0.51,0.48965,0.50939,0.509868,0.511553,0.009375,0.99528,0.97851,0.0,0
48,1,0.83,0.215836,0.248587,0.00349,0.51,0.51,0.489817,0.509677,0.499613,0.508078,0.009247,0.976298,0.97892,0.0,0
49,1,0.83,0.21436,0.248894,0.003409,0.51,0.51,0.48975,0.50951,0.508797,0.517087,0.009113,0.976789,0.979499,0.0,0
50,1,0.83,0.212904,0.248615,0.001285,0.51,0.51,0.489827,0.509765,0.491864,0.503066,0.009406,0.968634,0.979461,0.0,0
51,1,0.83,0.211595,0.249559,-0.000743,0.51,0.51,0.490192,0.510013,0.509341,0.509658,0.008133,0.999112,0.981301,0.0,0
52,1,0.83,0.21606,0.248693,-0.003463,0.51,0.51,0.490106,0.509982,0.50617,0.511244,0.007705,0.985793,0.982278,0.0,1
53,1,0.83,0.220301,0.247844,-0.001641,0.51,0.51,0.490166,0.509742,0.502838,0.514184,0.008215,0.968229,0.982185,0.0,1
54,1,0.83,0.224431,0.248288,0.000118,0.51,0.51,0.490079,0.509627,0.506058,0.513543,0.008113,0.979041,0.982599,0.0,1
55,1,0.83,0.22846,0.24999,0.001703,0.51,0.51,0.490021,0.509627,0.507109,0.509348,0.00729,0.993733,0.983801,0.0,1
56,1,0.83,0.23225,0.250106,0.003623,0.51,0.51,0.489969,0.509493,0.49736,0.508977,0.007896,0.967473,0.983404,0.0,1
57,1,0.83,0.235944,0.251709,0.001391,0.51,0.51,0.489771,0.509392,0.498843,0.506969,0.007928,0.977246,0.983548,0.18,1
58,1,0.83,0.239541,0.25372,0.000358,0.51,0.51,0.489616,0.509669,0.513102,0.5086,0.007449,0.987393,0.984138,0.18,1
59,1,0.83,0.243011,0.253847,0.001023,0.51,0.51,0.489312,0.509927,0.512914,0.516819,0.006953,0.989066,0.984814,0.18,1
60,1,0.83,0.246274,0.254587,0.000952,0.51,0.51,0.489174,0.509948,0.509593,0.522194,0.007743,0.964715,0.984011,0.18,1
61,1,0.83,0.249492,0.255397,-0.000785,0.51,0.51,0.489028,0.509688,0.514898,0.508924,0.007496,0.983274,0.984303,0.0,1
62,1,0.83,0.252543,0.256066,-0.002477,0.51,0.51,0.489154,0.510243,0.49668,0.508514,0.008103,0.966866,0.983466,0.0,1
63,1,0.83,0.255508,0.255893,-0.001076,0.51,0.51,0.489763,0.51032,0.50175,0.512195,0.008431,0.970752,0.983012,0.0,1
64,1,0.83,0.258455,0.255159,0.000459,0.51,0.51,0.489807,0.510346,0.500667,0.50178,0.007406,0.996886,0.984311,0.0,1
65,1,0.83,0.26128,0.255231,0.000259,0.51,0.51,0.490447,0.510322,0.499916,0.498208,0.006609,0.995218,0.985391,0.0,1
66,1,0.83,0.263939,0.255999,0.000957,0.51,0.51,0.490577,0.510136,0.516653,0.508609,0.00681,0.977476,0.985257,0.0,1
67,1,0.83,0.266576,0.256593,-0.000964,0.51,0.51,0.4907,0.510132,0.500437,0.500605,0.00588,0.999528,0.986419,0.0,1
68,1,0.83,0.269096,0.255547,-0.001657,0.51,0.51,0.490721,0.510188,0.518949,0.517227,0.005298,0.995177,0.987168,0.0,1
69,1,0.83,0.27153,0.254745,-0.001372,0.51,0.51,0.490725,0.510053,0.515372,0.514687,0.004652,0.998084,0.987979,0.0,1
70,1,0.83,0.273712,0.255261,-0.002797,0.51,0.51,0.490507,0.510151,0.520568,0.502343,0.006552,0.94897,0.985954,0.0,1
71,1,0.83,0.275782,0.255543,-0.001985,0.51,0.51,0.490169,0.510065,0.495724,0.520195,0.009061,0.931481,0.98318,0.0,1
72,1,0.83,0.278013,0.255064,-0.001171,0.51,0.51,0.49056,0.510237,0.511,0.512471,0.007998,0.995882,0.984533,0.0,1
73,1,0.83,0.280102,0.25657,0.001226,0.51,0.51,0.489856,0.510043,0.504513,0.511801,0.007899,0.979596,0.984595,0.0,1
74,1,0.83,0.28216,0.255821,-0.000231,0.51,0.51,0.490194,0.510242,0.510828,0.508629,0.007101,0.993843,0.985709,0.0,1
75,1,0.83,0.284002,0.256113,-0.001148,0.51,0.51,0.490068,0.510344,0.496133,0.513333,0.008515,0.951838,0.984212,0.0,1
76,1,0.83,0.285931,0.25959,-0.002753,0.51,0.51,0.490237,0.510288,0.504507,0.502639,0.007584,0.99477,0.985327,0.18,1
77,1,0.83,0.287709,0.259381,-0.002171,0.51,0.51,0.490184,0.510348,0.506324,0.516387,0.007931,0.971823,0.984975,0.18,1
78,1,0.83,0.289508,0.261472,-0.002079,0.51,0.51,0.490343,0.510542,0.513952,0.515055,0.006975,0.996913,0.986088,0.18,1
79,1,0.83,0.291111,0.263497,-0.002101,0.51,0.51,0.49011,0.510389,0.497557,0.512475,0.008087,0.95823,0.984738,0.18,1
80,1,0.83,0.292718,0.261751,0.001416,0.51,0.51,0.490332,0.510709,0.512389,0.502894,0.008284,0.973414,0.984545,0.0,1
81,1,0.83,0.294352,0.261837,0.002121,0.51,0.51,0.490029,0.510745,0.508533,0.509335,0.007237,0.997754,0.985546,0.0,1
82,1,0.83,0.295909,0.26258,0.002318,0.51,0.51,0.489788,0.510579,0.50143,0.503153,0.006465,0.995175,0.986406,0.0,1
83,1,0.83,0.297417,0.261625,0.003723,0.51,0.51,0.489887,0.510878,0.507464,0.507463,0.00556,0.999996,0.987449,0.0,1
84,1,0.83,0.298758,0.260862,0.002452,0.51,0.51,0.49013,0.510849,0.508666,0.496994,0.006416,0.96732,0.98644,0.0,1
85,1,0.83,0.300034,0.261883,0.00168,0.51,0.51,0.4897,0.510937,0.506752,0.521632,0.007601,0.958336,0.985024,0.0,1
86,1,0.83,0.301283,0.261736,0.003261,0.51,0.51,0.489543,0.510867,0.502345,0.517097,0.008602,0.958694,0.983666,0.0,1
87,1,0.83,0.302566,0.260274,0.002715,0.51,0.51,0.489524,0.51086,0.525392,0.517746,0.008468,0.978591,0.983546,0.0,1
88,1,0.83,0.303771,0.2611,-1.4e-05,0.51,0.51,0.489374,0.510871,0.503904,0.515429,0.008896,0.967729,0.982813,0.0,1
89,1,0.83,0.304877,0.261942,-0.002179,0.51,0.51,0.489101,0.51106,0.501681,0.520411,0.010273,0.947557,0.980937,0.0,1
90,1,0.83,0.306068,0.260559,-0.003714,0.51,0.51,0.488971,0.510991,0.504562,0.511882,0.009859,0.979505,0.980888,0.0,1
91,1,0.83,0.30726,0.260622,-0.002235,0.51,0.51,0.48923,0.511141,0.510472,0.507712,0.008865,0.992272,0.98155,0.0,1
92,1,0.83,0.308373,0.260661,-0.004944,0.51,0.51,0.489032,0.510872,0.505812,0.511824,0.008466,0.983168,0.981668,0.0,1
93,1,0.83,0.309437,0.259001,-0.005508,0.51,0.51,0.489061,0.511199,0.509833,0.516818,0.008259,0.980441,0.981648,0.0,1
94,1,0.83,0.310513,0.259012,-0.002946,0.51,0.51,0.489072,0.511193,0.510581,0.508885,0.00734,0.995252,0.982356,0.0,1
95,1,0.83,0.31154,0.260856,-0.001731,0.51,0.51,0.488875,0.511569,0.502966,0.505055,0.006605,0.994151,0.982938,0.18,1
96,1,0.83,0.312529,0.260973,-0.001696,0.51,0.51,0.488828,0.511686,0.513031,0.514956,0.00595,0.994608,0.983259,0.18,1
97,1,0.83,0.313482,0.260011,-0.002042,0.51,0.51,0.488994,0.511465,0.516116,0.517939,0.005372,0.994893,0.983498,0.18,1
98,1,0.83,0.314303,0.259724,-0.002644,0.51,0.51,0.489071,0.511111,0.500368,0.512667,0.006342,0.965561,0.982191,0.18,1
99,1,0.83,0.315114,0.260111,-0.002305,0.51,0.51,0.488988,0.511151,0.50885,0.497315,0.007069,0.9677,0.981311,0.0,1
100,1,0.83,0.315986,0.261198,-0.003105,0.51,0.51,0.489247,0.510837,0.506027,0.508718,0.006456,0.992466,0.981884,0.0,1
101,1,0.83,0.316804,0.259954,-0.002375,0.51,0.51,0.489357,0.510933,0.507911,0.512257,0.006161,0.98783,0.982364,0.0,1
102,1,0.83,0.317605,0.260223,-0.00231,0.51,0.51,0.489782,0.511116,0.505947,0.508383,0.005639,0.993178,0.983107,0.0,1
103,1,0.83,0.318256,0.259767,-0.002003,0.51,0.51,0.489499,0.511148,0.518257,0.503153,0.006964,0.957707,0.981846,0.0,1
104,1,0.83,0.318995,0.259231,-0.002724,0.51,0.51,0.48986,0.51081,0.510214,0.514505,0.00659,0.987984,0.982315,0.0,1
105,1,0.83,0.319587,0.258746,-0.005055,0.51,0.51,0.490498,0.510518,0.505433,0.52239,0.008042,0.952521,0.98099,0.0,1
106,1,0.83,0.320234,0.259148,-0.009429,0.51,0.51,0.490417,0.510395,0.501778,0.511847,0.008325,0.971807,0.980874,0.0,1
107,1,0.83,0.320883,0.257873,-0.009396,0.51,0.51,0.489982,0.510652,0.517345,0.509906,0.008201,0.979172,0.981272,0.0,1
108,1,0.83,0.321448,0.255912,-0.006642,0.51,0.51,0.490445,0.510825,0.50119,0.514851,0.008966,0.961749,0.980691,0.0,1
109,1,0.83,0.322035,0.256469,-0.006939,0.51,0.51,0.490374,0.510651,0.511454,0.52137,0.009099,0.972236,0.980527,0.0,1
110,1,0.83,0.322608,0.256707,-0.0109,0.51,0.51,0.490302,0.510946,0.508493,0.517817,0.00913,0.973892,0.980572,0.0,1
111,1,0.83,0.323153,0.255464,-0.011442,0.51,0.51,0.489932,0.510895,0.503791,0.514081,0.009293,0.971188,0.980369,0.0,1
112,1,0.83,0.323702,0.25598,-0.009002,0.51,0.51,0.489996,0.510522,0.508822,0.516599,0.00908,0.978224,0.980703,0.0,1
113,1,0.83,0.32427,0.254311,-0.007028,0.51,0.51,0.489743,0.510223,0.50824,0.50533,0.008217,0.991851,0.981957,0.0,1
114,1,0.83,0.324818,0.253411,-0.005968,0.51,0.51,0.489928,0.509767,0.508944,0.50747,0.007273,0.995872,0.983333,0.18,1
115,1,0.83,0.325219,0.25496,-0.004904,0.51,0.51,0.489884,0.509952,0.500326,0.514253,0.008204,0.961002,0.982649,0.18,1
116,1,0.83,0.325736,0.255777,-0.001011,0.51,0.51,0.490103,0.510014,0.51067,0.510891,0.007087,0.99938,0.984283,0.18,1
117,1,0.83,0.326164,0.255736,-0.004703,0.51,0.51,0.490525,0.510137,0.509068,0.515308,0.006968,0.982529,0.98481,0.18,1
118,1,0.83,0.326602,0.254018,-0.003023,0.51,0.51,0.490795,0.510206,0.509451,0.512496,0.006419,0.991476,0.985577,0.0,1
119,1,0.83,0.326898,0.253976,-0.003857,0.51,0.51,0.490845,0.510021,0.500374,0.516916,0.007836,0.953682,0.983972,0.0,1
120,1,0.83,0.327322,0.252363,-0.000676,0.51,0.51,0.490592,0.510008,0.506808,0.509666,0.007139,0.991998,0.984771,0.0,1
121,1,0.83,0.327656,0.253019,-0.000799,0.51,0.51,0.490577,0.510236,0.503556,0.513785,0.007572,0.971361,0.984418,0.0,1
122,1,0.83,0.328001,0.252702,0.002311,0.51,0.51,0.490371,0.510528,0.510818,0.518962,0.007652,0.977197,0.984348,0.0,1
123,1,0.83,0.328303,0.252624,0.000232,0.51,0.51,0.49048,0.510417,0.502151,0.513926,0.008229,0.96703,0.983669,0.0,1
124,1,0.83,0.328688,0.252449,-0.002028,0.51,0.51,0.490974,0.510834,0.517608,0.515513,0.00737,0.994133,0.984609,0.0,1
125,1,0.83,0.328987,0.251295,-0.003415,0.51,0.51,0.4911,0.510874,0.498726,0.508231,0.007669,0.973385,0.983904,0.0,1
126,1,0.83,0.329341,0.251734,-0.004457,0.51,0.51,0.4908,0.510544,0.505435,0.502182,0.007051,0.990891,0.984203,0.0,1
127,1,0.83,0.329701,0.252885,-0.005967,0.51,0.51,0.490532,0.510413,0.515977,0.51554,0.006125,0.998779,0.985176,0.0,1
128,1,0.83,0.329975,0.254089,-0.005725,0.51,0.51,0.490454,0.510212,0.49636,0.503659,0.006289,0.979561,0.985112,0.0,1
129,1,0.83,0.330303,0.251957,-0.007112,0.51,0.51,0.490484,0.510361,0.510107,0.510178,0.005419,0.999801,0.986323,0.0,1
130,1,0.83,0.330543,0.252959,-0.00937,0.51,0.51,0.490361,0.510413,0.504546,0.51197,0.0057,0.979213,0.986165,0.0,1
131,1,0.83,0.330687,0.254101,-0.012664,0.51,0.51,0.49037,0.510219,0.508332,0.52556,0.007314,0.95176,0.984482,0.0,1
132,1,0.83,0.330864,0.254135,-0.012079,0.51,0.51,0.490519,0.510098,0.498262,0.513172,0.008377,0.958253,0.983413,0.0,1
133,1,0.83,0.331115,0.255097,-0.010852,0.51,0.51,0.490529,0.50974,0.515802,0.508592,0.008214,0.979812,0.983671,0.18,1
134,1,0.83,0.331269,0.256876,-0.012605,0.51,0.51,0.490761,0.50947,0.51999,0.503141,0.009423,0.952821,0.982293,0.18,1
135,1,0.83,0.33155,0.258906,-0.012581,0.51,0.51,0.490574,0.50969,0.50282,0.50672,0.008649,0.98908,0.982923,0.18,1
136,1,0.83,0.331822,0.259861,-0.011069,0.51,0.51,0.49022,0.509233,0.507891,0.510744,0.007838,0.992014,0.98382,0.18,1
137,1,0.83,0.332093,0.258998,-0.011316,0.51,0.51,0.490003,0.509443,0.505229,0.506148,0.006869,0.997427,0.984896,0.0,1
138,1,0.83,0.33225,0.258423,-0.01212,0.51,0.51,0.490129,0.50962,0.5004,0.511615,0.007478,0.968596,0.984388,0.0,1
139,1,0.83,0.332436,0.258174,-0.010173,0.51,0.51,0.490046,0.509671,0.501108,0.508962,0.00753,0.978008,0.984489,0.0,1
140,1,0.83,0.332564,0.257149,-0.012267,0.51,0.51,0.489764,0.50995,0.509341,0.495966,0.008349,0.962549,0.98375,0.0,1
141,1,0.83,0.332758,0.256361,-0.008418,0.51,0.51,0.490083,0.510106,0.506589,0.500265,0.008065,0.982294,0.984249,0.0,1
142,1,0.83,0.332939,0.255846,-0.00913,0.51,0.51,0.489664,0.510258,0.507274,0.513788,0.007848,0.98176,0.984706,0.0,1
143,1,0.83,0.333137,0.255447,-0.007813,0.51,0.51,0.489899,0.510214,0.506487,0.509901,0.007227,0.990441,0.985451,0.0,1
144,1,0.83,0.333189,0.254242,-0.009413,0.51,0.51,0.489992,0.509946,0.495386,0.513379,0.008734,0.94962,0.983901,0.0,1
145,1,0.83,0.333295,0.253269,-0.009594,0.51,0.51,0.48978,0.510027,0.499905,0.513401,0.009401,0.962212,0.983327,0.0,1
146,1,0.83,0.333492,0.252575,-0.007501,0.51,0.51,0.490127,0.509903,0.507822,0.511416,0.008588,0.989937,0.98432,0.0,1
147,1,0.83,0.333696,0.251412,-0.007079,0.51,0.51,0.48995,0.510207,0.514297,0.515298,0.007526,0.997197,0.985638,0.0,1
148,1,0.83,0.333867,0.252311,-0.009304,0.51,0.51,0.48986,0.510259,0.509598,0.507302,0.006794,0.99357,0.986604,0.0,1
149,1,0.83,0.334029,0.251283,-0.009918,0.51,0.51,0.489705,0.510392,0.504638,0.506205,0.006062,0.995613,0.987533,0.0,1
150,1,0.83,0.334153,0.25298,-0.00874,0.51,0.51,0.489612,0.510367,0.506099,0.510296,0.005801,0.988249,0.987834,0.0,1
151,1,0.83,0.334058,0.253102,-0.007552,0.51,0.51,0.489558,0.510383,0.498632,0.526516,0.008892,0.921926,0.984287,0.0,1
152,1,0.83,0.33418,0.25376,-0.007759,0.51,0.51,0.489665,0.510764,0.506243,0.5145,0.008804,0.97688,0.984207,0.18,1
153,1,0.83,0.334205,0.254161,-0.006786,0.51,0.51,0.489558,0.51103,0.504277,0.52313,0.01021,0.947211,0.982331,0.18,1
154,1,0.83,0.334334,0.254449,-0.007216,0.51,0.51,0.489623,0.510868,0.502329,0.511785,0.010105,0.973524,0.981995,0.18,1
155,1,0.83,0.33448,0.254798,-0.004436,0.51,0.51,0.489569,0.510475,0.506055,0.513354,0.009712,0.979562,0.98213,0.18,1
156,1,0.83,0.33463,0.252864,-0.004695,0.51,0.51,0.489651,0.510322,0.502595,0.496646,0.009185,0.983343,0.982602,0.0,1
157,1,0.83,0.334776,0.254284,-0.006051,0.51,0.51,0.489342,0.510303,0.498871,0.504117,0.008634,0.98531,0.983234,0.0,1
158,1,0.83,0.334952,0.252584,-0.009099,0.51,0.51,0.489352,0.510488,0.507661,0.508264,0.007509,0.998312,0.98443,0.0,1
159,1,0.83,0.335094,0.252322,-0.007928,0.51,0.51,0.489666,0.510477,0.500241,0.502819,0.006819,0.992784,0.98512,0.0,1
160,1,0.83,0.335162,0.253147,-0.006769,0.51,0.51,0.489561,0.510391,0.498281,0.507461,0.007149,0.974296,0.984815,0.0,1
161,1,0.83,0.335307,0.253537,-0.002354,0.51,0.51,0.489468,0.510684,0.500091,0.500855,0.006256,0.99786,0.985879,0.0,1
162,1,0.83,0.335401,0.253968,-0.00331,0.51,0.51,0.489251,0.51128,0.514947,0.519746,0.006052,0.986561,0.986037,0.0,1
163,1,0.83,0.33547,0.252231,-0.00484,0.51,0.51,0.489302,0.510963,0.500724,0.508095,0.006236,0.979362,0.985443,0.0,1
164,1,0.83,0.335599,0.252332,-0.003206,0.51,0.51,0.48906,0.511318,0.507001,0.505986,0.005505,0.997157,0.986071,0.0,1
165,1,0.83,0.335599,0.250995,-0.004164,0.51,0.51,0.488935,0.511491,0.500523,0.515045,0.006768,0.959339,0.984237,0.0,1
166,1,0.83,0.335697,0.253268,-0.002019,0.51,0.51,0.489426,0.511428,0.510718,0.50495,0.006628,0.983848,0.983868,0.0,1
167,1,0.83,0.335685,0.254222,-0.002424,0.51,0.51,0.488977,0.511411,0.527855,0.509891,0.008215,0.949701,0.981806,0.0,1
168,1,0.83,0.335664,0.25316,-0.001044,0.51,0.51,0.48904,0.511074,0.522184,0.500717,0.01007,0.939891,0.979217,0.0,1
169,1,0.83,0.335837,0.254306,-0.00136,0.51,0.51,0.488672,0.511074,0.504405,0.507252,0.009059,0.992028,0.980026,0.0,1
170,1,0.83,0.335999,0.254032,-0.001455,0.51,0.51,0.488675,0.511218,0.503111,0.500569,0.008147,0.992881,0.980656,0.0,1
171,1,0.83,0.336095,0.255827,-0.002456,0.51,0.51,0.488514,0.5107,0.503055,0.494449,0.008211,0.975904,0.980197,0.18,1
172,1,0.83,0.336205,0.256647,-0.005281,0.51,0.51,0.488937,0.510656,0.502697,0.509819,0.008059,0.980057,0.980163,0.18,1
173,1,0.83,0.336332,0.257549,-0.005013,0.51,0.51,0.489398,0.510693,0.501544,0.497078,0.007556,0.987497,0.980745,0.18,1
174,1,0.83,0.336383,0.257878,-0.001827,0.51,0.51,0.489518,0.510314,0.515112,0.503434,0.008133,0.967302,0.980284,0.18,1
175,1,0.83,0.336491,0.256557,-0.004571,0.51,0.51,0.489681,0.510082,0.503679,0.508913,0.007727,0.985346,0.981099,0.0,1
176,1,0.83,0.336561,0.25709,-0.004712,0.51,0.51,0.489785,0.510359,0.518371,0.510309,0.007774,0.977427,0.981539,0.0,1
177,1,0.83,0.336691,0.258803,-0.004532,0.51,0.51,0.489804,0.509965,0.513954,0.514497,0.006761,0.99848,0.983069,0.0,1
178,1,0.83,0.33672,0.259823,-0.006271,0.51,0.51,0.490229,0.51022,0.507435,0.51688,0.007137,0.973555,0.983159,0.0,1
179,1,0.83,0.336769,0.259869,-0.006171,0.51,0.51,0.490077,0.510181,0.506882,0.513977,0.007131,0.980133,0.983528,0.0,1
180,1,0.83,0.336826,0.259671,-0.005111,0.51,0.51,0.490419,0.50979,0.51377,0.519227,0.006897,0.98472,0.984199,0.0,1
181,1,0.83,0.336873,0.259958,-0.005384,0.51,0.51,0.490805,0.509603,0.508882,0.503079,0.006744,0.983753,0.984599,0.0,1
182,1,0.83,0.336931,0.260642,-0.004844,0.51,0.51,0.49067,0.509552,0.506552,0.510745,0.006387,0.988259,0.984987,0.0,1
183,1,0.83,0.336891,0.260447,-0.005508,0.51,0.51,0.490502,0.509811,0.518498,0.504048,0.007515,0.959543,0.983729,0.0,1
184,1,0.83,0.336897,0.260215,-0.006522,0.51,0.51,0.490561,0.509333,0.506374,0.517032,0.007955,0.970159,0.983375,0.0,1
185,1,0.83,0.336994,0.259561,-0.006075,0.51,0.51,0.490827,0.509326,0.519211,0.520387,0.007006,0.996707,0.984358,0.0,1
186,1,0.83,0.337069,0.259931,-0.005909,0.51,0.51,0.490956,0.509628,0.508821,0.506591,0.006338,0.993756,0.984965,0.0,1
187,1,0.83,0.337123,0.26031,-0.006,0.51,0.51,0.490815,0.509346,0.497655,0.501162,0.005941,0.990182,0.985376,0.0,1
188,1,0.83,0.337191,0.260875,-0.004258,0.51,0.51,0.490619,0.509127,0.509267,0.507954,0.005293,0.996324,0.986041,0.0,1
189,1,0.83,0.337258,0.260611,-0.005242,0.51,0.51,0.490554,0.509284,0.506451,0.506031,0.004611,0.998823,0.986773,0.0,1
